Species;Common name;Order;Family;Status;Status_code;Sizemin;Sizemax;Migratory status;migrant_code;Population trend;Trend_code;Extent of occurrence (km2);Generation length (yrs);SSI_Diet;SSI_Habitat;Neartic;Paleartic;Afrotropical;Neotropical;Indomalayan;Australasian;Oceanic
Abeillia abeillei;Emerald-chinned Hummingbird;Caprimulgiformes;Trochilidae;Least Concern;1;7;7.5;not a migrant;1;Decreasing;1;379000;4.2;1.58113883;4.949747468;0;0;0;1;0;1;0
Abroscopus albogularis;Rufous-faced Warbler;Passeriformes;Scotocercidae;Least Concern;1;8;9;not a migrant;1;Stable;2;4300000;3.6;3.605551275;4.949747468;0;1;0;0;1;1;0
Abroscopus schisticeps;Black-faced Warbler;Passeriformes;Scotocercidae;Least Concern;1;10;10;not a migrant;1;Stable;2;2160000;3.6;3.605551275;7.071067812;0;1;0;0;1;1;0
Abroscopus superciliaris;Yellow-bellied Warbler;Passeriformes;Scotocercidae;Least Concern;1;9;9;altitudinal migrant;2;Stable;2;8290000;3.6;3.605551275;4.949747468;0;1;0;0;1;1;0
Aburria aburri;Wattled Guan;Galliformes;Cracidae;Near Threatened;2;72.5;81.5;not a migrant;1;Decreasing;1;1880000;5.7;1.58113883;4;0;0;0;1;0;1;0
Acanthagenys rufogularis;Spiny-cheeked Honeyeater;Passeriformes;Meliphagidae;Least Concern;1;22;27;not a migrant;1;Decreasing;1;7380000;6.8;1;2.738612788;0;0;0;0;0;1;1
Acanthidops bairdi;Peg-billed Finch;Passeriformes;Thraupidae;Least Concern;1;13;13;not a migrant;1;Decreasing;1;12800;3.8;1.341640786;4.949747468;0;0;0;1;0;1;0
Acanthis flammea;Redpoll;Passeriformes;Fringillidae;Least Concern;1;12.5;14;full migrant;3;Decreasing;1;61400000;4.5;1.914854216;3.033150178;0;0;0;0;0;1;0
Acanthisitta chloris;Rifleman;Passeriformes;Acanthisittidae;Least Concern;1;7;9;not a migrant;1;Decreasing;1;563000;3.5;1.914854216;3.4278273;0;0;0;0;0;1;1
Acanthiza apicalis;Inland Thornbill;Passeriformes;Acanthizidae;Least Concern;1;9;11.5;not a migrant;1;Decreasing;1;5940000;5.7;1.914854216;2.024845673;0;0;0;0;0;1;1
Acanthiza chrysorrhoa;Yellow-rumped Thornbill;Passeriformes;Acanthizidae;Least Concern;1;9.5;12;not a migrant;1;Decreasing;1;7440000;5.7;1.154700538;2.024845673;0;0;0;0;0;1;1
Acanthiza cinerea;Grey Thornbill;Passeriformes;Acanthizidae;Least Concern;1;9;9;not a migrant;1;Stable;2;677000;5.5;2.449489743;7.071067812;0;0;0;0;0;1;1
Acanthiza ewingii;Tasmanian Thornbill;Passeriformes;Acanthizidae;Least Concern;1;10.5;11.5;not a migrant;1;Decreasing;1;134000;5.7;1.58113883;2.738612788;0;0;0;0;0;1;1
Acanthiza inornata;Western Thornbill;Passeriformes;Acanthizidae;Least Concern;1;8;10.5;not a migrant;1;Decreasing;1;195000;5.7;2.449489743;3.033150178;0;0;0;0;0;1;1
Acanthiza iredalei;Slender-billed Thornbill;Passeriformes;Acanthizidae;Least Concern;1;8.5;11;not a migrant;1;Decreasing;1;2410000;5.7;1.154700538;4;0;0;0;0;0;1;1
Acanthiza katherina;Mountain Thornbill;Passeriformes;Acanthizidae;Least Concern;1;10;10.5;not a migrant;1;Stable;2;69200;5.7;2.449489743;4.949747468;0;0;0;0;0;1;1
Acanthiza lineata;Striated Thornbill;Passeriformes;Acanthizidae;Least Concern;1;9;11;not a migrant;1;Decreasing;1;1810000;5.7;1.154700538;2.160246899;0;0;0;0;0;1;1
Acanthiza murina;New Guinea Thornbill;Passeriformes;Acanthizidae;Least Concern;1;9;10;not a migrant;1;Stable;2;278000;5.7;0.745355992;7.071067812;0;0;0;0;0;1;1
Acanthiza nana;Yellow Thornbill;Passeriformes;Acanthizidae;Least Concern;1;8.5;10;not a migrant;1;Decreasing;1;2790000;5.7;1.914854216;2.024845673;0;0;0;0;0;1;1
Acanthiza pusilla;Brown Thornbill;Passeriformes;Acanthizidae;Least Concern;1;9;11.5;not a migrant;1;Stable;2;2420000;5.7;1;1.906925178;0;0;0;0;0;1;0
Acanthiza reguloides;Buff-rumped Thornbill;Passeriformes;Acanthizidae;Least Concern;1;9.5;11;not a migrant;1;Decreasing;1;2620000;5.7;1.154700538;3.033150178;0;0;0;0;0;1;1
Acanthiza robustirostris;Slaty-backed Thornbill;Passeriformes;Acanthizidae;Least Concern;1;9.5;11.5;not a migrant;1;Stable;2;3020000;5.7;2.449489743;4;0;0;0;0;0;1;1
Acanthiza uropygialis;Chestnut-rumped Thornbill;Passeriformes;Acanthizidae;Least Concern;1;9;11;not a migrant;1;Decreasing;1;6120000;5.7;1.341640786;2.738612788;0;0;0;0;0;1;1
Acanthoptila nipalensis;Spiny Babbler;Passeriformes;Leiotrichidae;Least Concern;1;22;26;not a migrant;1;Stable;2;90700;8.8;1.341640786;7.071067812;0;1;0;0;1;1;0
Acanthorhynchus superciliosus;Western Spinebill;Passeriformes;Meliphagidae;Least Concern;1;12.5;15.5;not a migrant;1;Decreasing;1;351000;5.6;1.914854216;2.738612788;0;0;0;0;0;1;1
Acanthorhynchus tenuirostris;Eastern Spinebill;Passeriformes;Meliphagidae;Least Concern;1;13;16;not a migrant;1;Decreasing;1;3060000;5.6;1.58113883;2.318404624;0;0;0;0;0;1;1
Acanthornis magna;Scrubtit;Passeriformes;Acanthizidae;Least Concern;1;11;12;not a migrant;1;Decreasing;1;103000;5.3;2.449489743;4.949747468;0;0;0;0;0;1;1
Accipiter badius;Shikra;Accipitriformes;Accipitridae;Least Concern;1;25;44.5;full migrant;3;Stable;2;65900000;6.7;2.449489743;2.318404624;0;1;1;0;1;1;0
Accipiter brevipes;Levant Sparrowhawk;Accipitriformes;Accipitridae;Least Concern;1;30;37;full migrant;3;Stable;2;6330000;7.2;1.58113883;2.318404624;0;1;1;0;0;1;0
Accipiter butleri;Nicobar Sparrowhawk;Accipitriformes;Accipitridae;Vulnerable;3;28;34;not a migrant;1;Decreasing;1;3500;7.2;1.58113883;7.071067812;0;0;0;0;1;1;0
Accipiter castanilius;Chestnut-flanked Sparrowhawk;Accipitriformes;Accipitridae;Least Concern;1;28;37;not a migrant;1;Decreasing;1;3810000;7.2;1.58113883;7.071067812;0;0;1;0;0;1;0
Accipiter cirrocephalus;Collared Sparrowhawk;Accipitriformes;Accipitridae;Least Concern;1;27;38;not a migrant;1;Decreasing;1;14400000;7.2;2.449489743;2.160246899;0;0;0;0;0;1;1
Accipiter collaris;Semi-collared Hawk;Accipitriformes;Accipitridae;Near Threatened;2;25;30;not a migrant;1;Stable;2;1900000;7.2;2.449489743;7.071067812;0;0;0;1;0;1;0
Accipiter cooperii;Cooper's Hawk;Accipitriformes;Accipitridae;Least Concern;1;37;47;full migrant;3;Increasing;3;11800000;7.2;2.449489743;2.507132682;1;0;0;1;0;1;0
Accipiter erythrauchen;Rufous-necked Sparrowhawk;Accipitriformes;Accipitridae;Near Threatened;2;26;35;not a migrant;1;Decreasing;1;240000;7.2;2.449489743;4;0;0;0;0;0;1;1
Accipiter erythropus;Red-legged Sparrowhawk;Accipitriformes;Accipitridae;Least Concern;1;22;28;not a migrant;1;Decreasing;1;6880000;7.2;1.58113883;4;0;0;1;0;0;1;0
Accipiter fasciatus;Brown Goshawk;Accipitriformes;Accipitridae;Least Concern;1;40;55;not a migrant;1;Decreasing;1;20100000;7.2;2.449489743;2.507132682;0;0;0;0;1;1;1
Accipiter francesiae;Frances's Sparrowhawk;Accipitriformes;Accipitridae;Least Concern;1;28;35;not a migrant;1;Stable;2;931000;7.2;1.58113883;2.738612788;0;0;1;0;0;1;0
Accipiter griseiceps;Sulawesi Goshawk;Accipitriformes;Accipitridae;Least Concern;1;28;38;not a migrant;1;Decreasing;1;430000;7.2;1.58113883;3.4278273;0;0;0;0;0;1;1
Accipiter gularis;Japanese Sparrowhawk;Accipitriformes;Accipitridae;Least Concern;1;23;30;full migrant;3;Stable;2;11400000;7.2;2.449489743;2.024845673;0;1;0;0;1;1;0
Accipiter gundlachi;Gundlach's Hawk;Accipitriformes;Accipitridae;Endangered;4;40;46;not a migrant;1;Decreasing;1;213000;7.2;2.449489743;3.033150178;0;0;0;1;0;1;0
Accipiter haplochrous;White-bellied Goshawk;Accipitriformes;Accipitridae;Near Threatened;2;32;40;not a migrant;1;Decreasing;1;20800;7.2;1.58113883;3.033150178;0;0;0;0;0;1;1
Accipiter henicogrammus;Moluccan Goshawk;Accipitriformes;Accipitridae;Near Threatened;2;37;48;not a migrant;1;Decreasing;1;58700;7.2;1.58113883;4.949747468;0;0;0;0;0;1;1
Accipiter henstii;Henst's Goshawk;Accipitriformes;Accipitridae;Near Threatened;2;52;62;not a migrant;1;Decreasing;1;673000;7.2;2.449489743;3.033150178;0;0;1;0;0;1;0
Accipiter hiogaster;Variable Goshawk;Accipitriformes;Accipitridae;Least Concern;1;30;48;not a migrant;1;Stable;2;3720000;7.2;1.58113883;4;0;0;0;0;0;1;0
Accipiter imitator;Imitator Goshawk;Accipitriformes;Accipitridae;Vulnerable;3;28;33;not a migrant;1;Decreasing;1;45500;7.2;1.58113883;4.949747468;0;0;0;0;0;1;1
Accipiter luteoschistaceus;Slaty-backed Goshawk;Accipitriformes;Accipitridae;Vulnerable;3;28;38;not a migrant;1;Decreasing;1;71400;5;1.58113883;3.4278273;0;0;0;0;0;1;1
Accipiter madagascariensis;Madagascar Sparrowhawk;Accipitriformes;Accipitridae;Near Threatened;2;29;42;not a migrant;1;Decreasing;1;689000;7.2;1.58113883;2.507132682;0;0;1;0;0;1;0
Accipiter melanochlamys;Black-mantled Goshawk;Accipitriformes;Accipitridae;Least Concern;1;32;43;not a migrant;1;Stable;2;489000;7.2;1.914854216;4;0;0;0;0;0;1;1
Accipiter melanoleucus;Black Sparrowhawk;Accipitriformes;Accipitridae;Least Concern;1;40;58;not a migrant;1;Decreasing;1;22600000;6.4;2.449489743;2.738612788;0;0;1;0;0;1;0
Accipiter meyerianus;Meyer's Goshawk;Accipitriformes;Accipitridae;Least Concern;1;43;53;not a migrant;1;Decreasing;1;2490000;7.2;2.449489743;4.949747468;0;0;0;0;0;1;1
Accipiter minullus;Little Sparrowhawk;Accipitriformes;Accipitridae;Least Concern;1;20;25;not a migrant;1;Stable;2;12000000;6.7;1.58113883;2.507132682;0;0;1;0;0;1;0
Accipiter nanus;Dwarf Sparrowhawk;Accipitriformes;Accipitridae;Near Threatened;2;23;28;not a migrant;1;Decreasing;1;387000;7.2;1.58113883;4.949747468;0;0;0;0;0;1;1
Accipiter nisus;Eurasian Sparrowhawk;Accipitriformes;Accipitridae;Least Concern;1;28;40;full migrant;3;Stable;2;54400000;7.2;3.605551275;1.802775638;0;1;1;0;1;1;0
Accipiter novaehollandiae;Grey Goshawk;Accipitriformes;Accipitridae;Least Concern;1;44;55;not a migrant;1;Decreasing;1;6540000;7.2;1.341640786;4;0;0;0;0;0;1;0
Accipiter ovampensis;Ovambo Sparrowhawk;Accipitriformes;Accipitridae;Least Concern;1;30;40;nomadic;4;Increasing;3;18200000;7.2;1.58113883;3.4278273;0;0;1;0;0;1;0
Accipiter poliocephalus;Grey-headed Goshawk;Accipitriformes;Accipitridae;Least Concern;1;30;38;not a migrant;1;Stable;2;1520000;7.2;1.58113883;4;0;0;0;0;0;1;1
Accipiter poliogaster;Grey-bellied Goshawk;Accipitriformes;Accipitridae;Near Threatened;2;38;50;full migrant;3;Increasing;3;11000000;7.2;1.58113883;7.071067812;0;0;0;1;0;1;0
Accipiter princeps;New Britain Goshawk;Accipitriformes;Accipitridae;Vulnerable;3;38;45;not a migrant;1;Decreasing;1;47900;10;1.58113883;4.949747468;0;0;0;0;0;1;1
Accipiter rhodogaster;Vinous-breasted Sparrowhawk;Accipitriformes;Accipitridae;Least Concern;1;26;33;not a migrant;1;Decreasing;1;524000;7.2;2.449489743;3.4278273;0;0;0;0;0;1;1
Accipiter rufitorques;Fiji Goshawk;Accipitriformes;Accipitridae;Least Concern;1;30;42;not a migrant;1;Stable;2;82000;7.2;1.58113883;3.4278273;0;0;0;0;0;1;1
Accipiter rufiventris;Rufous-breasted Sparrowhawk;Accipitriformes;Accipitridae;Least Concern;1;29;36;not a migrant;1;Increasing;3;8300000;7.2;1.914854216;2.738612788;0;0;1;0;0;1;0
Accipiter soloensis;Chinese Sparrowhawk;Accipitriformes;Accipitridae;Least Concern;1;25;35;full migrant;3;Decreasing;1;4070000;7.2;1.58113883;2.738612788;0;1;0;0;1;1;1
Accipiter striatus;Sharp-shinned Hawk;Accipitriformes;Accipitridae;Least Concern;1;23;35;full migrant;3;Increasing;3;68400000;7.2;3.605551275;2.024845673;1;0;0;1;0;1;0
Accipiter tachiro;African Goshawk;Accipitriformes;Accipitridae;Least Concern;1;35;40;not a migrant;1;Decreasing;1;8940000;7.2;1.58113883;2.738612788;0;0;0;0;0;1;0
Accipiter toussenelii;Red-chested Goshawk;Accipitriformes;Accipitridae;Least Concern;1;36;48;not a migrant;1;Decreasing;1;11200000;7.2;1.58113883;2.738612788;0;0;0;0;0;1;0
Accipiter trinotatus;Spot-tailed Goshawk;Accipitriformes;Accipitridae;Least Concern;1;26;31;not a migrant;1;Stable;2;419000;7.2;1.58113883;4.949747468;0;0;0;0;0;1;1
Accipiter trivirgatus;Crested Goshawk;Accipitriformes;Accipitridae;Least Concern;1;30;46;not a migrant;1;Decreasing;1;17200000;7.2;1.58113883;3.4278273;0;1;0;0;1;1;0
Accipiter virgatus;Besra;Accipitriformes;Accipitridae;Least Concern;1;24;36;altitudinal migrant;2;Decreasing;1;21200000;7.2;1.58113883;3.033150178;0;1;0;0;1;1;0
Aceros nipalensis;Rufous-necked Hornbill;Bucerotiformes;Bucerotidae;Vulnerable;3;90;100;not a migrant;1;Decreasing;1;1300000;19;2.449489743;4.949747468;0;1;0;0;1;1;0
Achaetops pycnopygius;Rockrunner;Passeriformes;Macrosphenidae;Least Concern;1;16;17;not a migrant;1;Stable;2;639000;3.6;2.449489743;4;0;0;1;0;0;1;0
Acridotheres burmannicus;Burmese Myna;Passeriformes;Sturnidae;Least Concern;1;22;22;not a migrant;1;Increasing;3;420000;4.4;1.58113883;3.4278273;0;0;0;0;0;1;0
Acridotheres cinereus;Pale-bellied Myna;Passeriformes;Sturnidae;Least Concern;1;25;25;not a migrant;1;Stable;2;25200;3.9;1.58113883;4.949747468;0;0;0;0;1;1;1
Acridotheres cristatellus;Crested Myna;Passeriformes;Sturnidae;Least Concern;1;25;27.5;not a migrant;1;Stable;2;4410000;3.9;1.154700538;3.033150178;0;1;0;1;1;1;0
Acridotheres fuscus;Jungle Myna;Passeriformes;Sturnidae;Least Concern;1;24;24;not a migrant;1;Decreasing;1;8230000;3.9;0.866025404;4;0;0;0;0;1;1;0
Acridotheres ginginianus;Bank Myna;Passeriformes;Sturnidae;Least Concern;1;22;22;not a migrant;1;Increasing;3;2660000;3.9;0.866025404;2.738612788;0;1;0;0;1;1;0
Acridotheres grandis;Great Myna;Passeriformes;Sturnidae;Least Concern;1;25;25;not a migrant;1;Stable;2;3430000;3.9;1.341640786;3.4278273;0;0;0;0;0;1;0
Acridotheres javanicus;Javan Myna;Passeriformes;Sturnidae;Vulnerable;3;21;25;not a migrant;1;Decreasing;1;184000;3.9;0.866025404;3.4278273;0;0;0;0;0;1;0
Acridotheres melanopterus;Black-winged Myna;Passeriformes;Sturnidae;Critically Endangered;5;23;23;not a migrant;1;Decreasing;1;200;4.44;1.154700538;2.738612788;0;0;0;0;0;1;0
Acridotheres tristis;Common Myna;Passeriformes;Sturnidae;Least Concern;1;23;27;not a migrant;1;Increasing;3;18000000;3.9;0.866025404;2.507132682;0;1;0;0;1;1;0
Acritillas indica;Yellow-browed Bulbul;Passeriformes;Pycnonotidae;Least Concern;1;20;20;not a migrant;1;Stable;2;759000;3.5;1.58113883;2.738612788;0;0;0;0;1;1;0
Acrobatornis fonsecai;Pink-legged Graveteiro;Passeriformes;Furnariidae;Vulnerable;3;13;14;not a migrant;1;Decreasing;1;13400;3.8;2.449489743;4.949747468;0;0;0;1;0;1;0
Acrocephalus aequinoctialis;Kiritimati Reed-warbler;Passeriformes;Acrocephalidae;Endangered;4;15;15;not a migrant;1;Decreasing;1;460;4.4;1.58113883;7.071067812;0;0;0;0;0;1;1
Acrocephalus agricola;Paddyfield Warbler;Passeriformes;Acrocephalidae;Least Concern;1;12;14;full migrant;3;Decreasing;1;9650000;4.4;2.449489743;3.4278273;0;0;0;0;0;1;0
Acrocephalus arundinaceus;Great Reed-warbler;Passeriformes;Acrocephalidae;Least Concern;1;19;20;full migrant;3;Decreasing;1;24500000;4.2;1.341640786;2.024845673;0;0;0;0;0;1;0
Acrocephalus atyphus;Tuamotu Reed-warbler;Passeriformes;Acrocephalidae;Least Concern;1;18;19;not a migrant;1;Stable;2;495000;4.4;1.341640786;3.4278273;0;0;0;0;0;1;1
Acrocephalus australis;Australasian Reed-warbler;Passeriformes;Acrocephalidae;Least Concern;1;16;17;full migrant;3;Stable;2;24600000;4.4;2.449489743;3.033150178;0;0;0;0;0;1;1
Acrocephalus bistrigiceps;Black-browed Reed-warbler;Passeriformes;Acrocephalidae;Least Concern;1;13.5;14;full migrant;3;Stable;2;6510000;4.4;2.449489743;3.4278273;0;1;0;0;1;1;0
Acrocephalus caffer;Tahiti Reed-warbler;Passeriformes;Acrocephalidae;Endangered;4;17;20;not a migrant;1;Decreasing;1;420;4.4;0.866025404;4;0;0;0;0;0;1;0
Acrocephalus concinens;Blunt-winged Warbler;Passeriformes;Acrocephalidae;Least Concern;1;13;14;full migrant;3;Stable;2;6820000;4.4;2.449489743;3.4278273;0;1;0;0;1;1;0
Acrocephalus dumetorum;Blyth’s Reed-warbler;Passeriformes;Acrocephalidae;Least Concern;1;12;14;full migrant;3;Increasing;3;10600000;4.4;1.58113883;2.507132682;0;1;0;0;1;1;0
Acrocephalus familiaris;Millerbird;Passeriformes;Acrocephalidae;Critically Endangered;5;13;13;not a migrant;1;Stable;2;2;4.4;1.58113883;7.071067812;0;0;0;0;0;1;1
Acrocephalus gracilirostris;Lesser Swamp-warbler;Passeriformes;Acrocephalidae;Least Concern;1;17;18;not a migrant;1;Stable;2;15700000;4;1.58113883;2.738612788;0;0;1;0;0;1;0
Acrocephalus griseldis;Basra Reed-warbler;Passeriformes;Acrocephalidae;Endangered;4;17;18;full migrant;3;Stable;2;438000;4.4;2.449489743;1.906925178;0;1;1;0;0;1;0
Acrocephalus hiwae;Saipan Reed-warbler;Passeriformes;Acrocephalidae;Critically Endangered;5;18;19;not a migrant;1;Decreasing;1;2500;5.7;1.58113883;3.033150178;0;0;0;0;0;1;0
Acrocephalus kerearako;Cook Reed-warbler;Passeriformes;Acrocephalidae;Near Threatened;2;16;16;not a migrant;1;Decreasing;1;1600;4.4;2.449489743;3.4278273;0;0;0;0;0;1;1
Acrocephalus melanopogon;Moustached Warbler;Passeriformes;Acrocephalidae;Least Concern;1;12;13;full migrant;3;Stable;2;13800000;4.4;1.914854216;4.949747468;0;1;0;0;1;1;0
Acrocephalus mendanae;Southern Marquesan Reed-warbler;Passeriformes;Acrocephalidae;Least Concern;1;18;22;not a migrant;1;Stable;2;18500;4.4;0.745355992;4;0;0;0;0;0;1;0
Acrocephalus newtoni;Madagascar Swamp-warbler;Passeriformes;Acrocephalidae;Least Concern;1;18;19;not a migrant;1;Stable;2;689000;4.4;3.605551275;4;0;0;1;0;0;1;0
Acrocephalus orientalis;Oriental Reed-warbler;Passeriformes;Acrocephalidae;Least Concern;1;17;19;full migrant;3;Decreasing;1;8170000;4.2;1.58113883;2.024845673;0;0;0;0;0;1;0
Acrocephalus paludicola;Aquatic Warbler;Passeriformes;Acrocephalidae;Vulnerable;3;13;13;full migrant;3;Decreasing;1;578000;4.4;2.449489743;4.949747468;0;1;1;0;0;1;0
Acrocephalus palustris;Marsh Warbler;Passeriformes;Acrocephalidae;Least Concern;1;13;13;full migrant;3;Stable;2;9490000;4.4;1.58113883;2.024845673;0;1;1;0;0;1;0
Acrocephalus percernis;Northern Marquesan Reed-warbler;Passeriformes;Acrocephalidae;Least Concern;1;18;22;not a migrant;1;Stable;2;6400;4.4;0.745355992;4;0;0;0;0;0;1;0
Acrocephalus rehsei;Nauru Reed-warbler;Passeriformes;Acrocephalidae;Vulnerable;3;15;15;not a migrant;1;Stable;2;18;4.4;2.449489743;3.4278273;0;0;0;0;0;1;1
Acrocephalus rodericanus;Rodrigues Warbler;Passeriformes;Acrocephalidae;Near Threatened;2;13.5;13.5;not a migrant;1;Increasing;3;14;4.4;2.449489743;4;0;0;1;0;0;1;0
Acrocephalus rufescens;Greater Swamp-warbler;Passeriformes;Acrocephalidae;Least Concern;1;16;18;not a migrant;1;Stable;2;12300000;4.4;1.58113883;4.949747468;0;0;1;0;0;1;0
Acrocephalus schoenobaenus;Sedge Warbler;Passeriformes;Acrocephalidae;Least Concern;1;13;13;full migrant;3;Stable;2;20100000;3.6;2.449489743;2.507132682;0;1;1;0;0;1;0
Acrocephalus scirpaceus;Common Reed-warbler;Passeriformes;Acrocephalidae;Least Concern;1;13;13;full migrant;3;Stable;2;65300000;4.3;0.866025404;2.738612788;0;0;0;0;0;1;0
Acrocephalus sechellensis;Seychelles Warbler;Passeriformes;Acrocephalidae;Near Threatened;2;14;14;not a migrant;1;Increasing;3;31;7.6;1.58113883;7.071067812;0;0;1;0;0;1;0
Acrocephalus stentoreus;Clamorous Reed-warbler;Passeriformes;Acrocephalidae;Least Concern;1;18;20;full migrant;3;Stable;2;24300000;4.4;2.449489743;2.507132682;0;0;0;0;0;1;0
Acrocephalus taiti;Henderson Reed-warbler;Passeriformes;Acrocephalidae;Vulnerable;3;17;17;not a migrant;1;Stable;2;46;6.9;1.58113883;7.071067812;0;0;0;0;0;1;1
Acryllium vulturinum;Vulturine Guineafowl;Galliformes;Numididae;Least Concern;1;60;72;not a migrant;1;Stable;2;1500000;3.9;0.866025404;3.4278273;0;0;1;0;0;1;0
Actenoides bougainvillei;Bougainville Moustached Kingfisher;Coraciiformes;Alcedinidae;Endangered;4;30;32;not a migrant;1;Decreasing;1;10800;6.6;1.58113883;4.949747468;0;0;0;0;0;1;0
Actenoides capucinus;Black-headed Kingfisher;Coraciiformes;Alcedinidae;Near Threatened;2;31;32;not a migrant;1;Decreasing;1;129000;6.6;2.449489743;7.071067812;0;0;0;0;0;1;0
Actenoides concretus;Rufous-collared Kingfisher;Coraciiformes;Alcedinidae;Near Threatened;2;23;25;not a migrant;1;Decreasing;1;3800000;6.6;1.58113883;4.949747468;0;0;0;0;1;1;0
Actenoides hombroni;Blue-capped Kingfisher;Coraciiformes;Alcedinidae;Vulnerable;3;27;27;not a migrant;1;Decreasing;1;140000;6.6;1.58113883;4.949747468;0;0;0;0;1;1;0
Actenoides lindsayi;Spotted Kingfisher;Coraciiformes;Alcedinidae;Least Concern;1;26;26;not a migrant;1;Decreasing;1;314000;6.6;1.58113883;4;0;0;0;0;1;1;0
Actenoides monachus;Blue-headed Kingfisher;Coraciiformes;Alcedinidae;Near Threatened;2;31;32;not a migrant;1;Decreasing;1;217000;6.6;3.605551275;7.071067812;0;0;0;0;1;1;0
Actenoides princeps;Scaly-breasted Kingfisher;Coraciiformes;Alcedinidae;Near Threatened;2;24;25;not a migrant;1;Decreasing;1;285000;6.6;1.58113883;4.949747468;0;0;0;0;0;1;0
Actenoides regalis;Plain-backed Kingfisher;Coraciiformes;Alcedinidae;Vulnerable;3;24;25;not a migrant;1;Decreasing;1;29500;6.6;1.58113883;4.949747468;0;0;0;0;0;1;0
Actinodura egertoni;Rusty-fronted Barwing;Passeriformes;Leiotrichidae;Least Concern;1;21.5;23.5;not a migrant;1;Decreasing;1;870000;5.5;1.154700538;4;0;1;0;0;1;1;0
Actitis hypoleucos;Common Sandpiper;Charadriiformes;Scolopacidae;Least Concern;1;19;21;full migrant;3;Decreasing;1;47200000;6.8;1.58113883;1.549193338;1;1;1;0;1;1;1
Actitis macularius;Spotted Sandpiper;Charadriiformes;Scolopacidae;Least Concern;1;18;20;full migrant;3;Decreasing;1;23400000;5.8;1.58113883;2.024845673;1;1;0;1;0;1;0
Actophilornis africanus;African Jacana;Charadriiformes;Jacanidae;Least Concern;1;23;31;nomadic;4;Stable;2;24400000;4.8;1.58113883;1.802775638;0;0;1;0;0;1;0
Actophilornis albinucha;Madagascar Jacana;Charadriiformes;Jacanidae;Near Threatened;2;30;30;not a migrant;1;Decreasing;1;415000;4.8;1.58113883;2.738612788;0;0;1;0;0;1;0
Aechmophorus clarkii;Clark's Grebe;Podicipediformes;Podicipedidae;Least Concern;1;51;74;full migrant;3;Decreasing;1;6220000;8;1.914854216;7.071067812;1;0;0;0;0;1;0
Aechmophorus occidentalis;Western Grebe;Podicipediformes;Podicipedidae;Least Concern;1;51;74;full migrant;3;Decreasing;1;8600000;8;1.914854216;7.071067812;1;0;0;0;0;1;0
Aegithalos caudatus;Long-tailed Tit;Passeriformes; Aegithalidae;Least Concern;1;6;10;not a migrant;1;Stable;2;44600000;4.2;0.866025404;2.160246899;0;0;0;0;0;1;0
Aegithalos concinnus;Black-throated Tit;Passeriformes; Aegithalidae;Least Concern;1;10.5;10.5;not a migrant;1;Stable;2;4080000;4.2;1.154700538;2.507132682;0;0;0;0;0;1;0
Aegithalos fuliginosus;Sooty Tit;Passeriformes; Aegithalidae;Least Concern;1;11.5;11.5;not a migrant;1;Stable;2;531000;4.2;1.58113883;4.949747468;0;1;0;0;0;1;0
Aegithalos glaucogularis;Silver-throated Tit;Passeriformes; Aegithalidae;Least Concern;1;6;10;not a migrant;1;Stable;2;2950000;4.2;0.866025404;2.160246899;0;0;0;0;0;1;0
Aegithalos iouschistos;Rufous-fronted Tit;Passeriformes; Aegithalidae;Least Concern;1;11;12;altitudinal migrant;2;Stable;2;334000;4.2;1.58113883;3.4278273;0;0;0;0;0;1;0
Aegithalos leucogenys;White-cheeked Tit;Passeriformes; Aegithalidae;Least Concern;1;11;12;altitudinal migrant;2;Stable;2;338000;4.2;2.449489743;4;0;1;0;0;1;1;0
Aegithalos niveogularis;White-throated Tit;Passeriformes; Aegithalidae;Least Concern;1;11.5;11.5;not a migrant;1;Stable;2;323000;4.2;1.58113883;4.949747468;0;1;0;0;1;1;0
Aegithina viridissima;Green Iora;Passeriformes;Aegithinidae;Near Threatened;2;11.5;12.8;not a migrant;1;Decreasing;1;3780000;4.8;2.449489743;4.949747468;0;0;0;0;1;1;0
Aegolius acadicus;Northern Saw-whet Owl;Strigiformes;Strigidae;Least Concern;1;20;21.5;full migrant;3;Decreasing;1;18700000;5.4;1.58113883;3.033150178;0;0;0;0;0;1;0
Aegolius funereus;Boreal Owl;Strigiformes;Strigidae;Least Concern;1;25;28;full migrant;3;Stable;2;73800000;5.8;1.58113883;4;1;1;0;0;1;1;0
Aegolius harrisii;Buff-fronted Owl;Strigiformes;Strigidae;Least Concern;1;19;21;not a migrant;1;Stable;2;12700000;5.6;1.58113883;2.507132682;0;0;0;1;0;1;0
Aegolius ridgwayi;Unspotted Saw-whet Owl;Strigiformes;Strigidae;Least Concern;1;18;20;not a migrant;1;Stable;2;187000;5.6;1.58113883;7.071067812;0;0;0;1;0;1;0
Aegotheles albertisi;Mountain Owlet-nightjar;Caprimulgiformes;Aegothelidae;Least Concern;1;18;20;not a migrant;1;Stable;2;631000;5.4;3.605551275;4;0;0;0;0;0;1;1
Aegotheles archboldi;Archbold's Owlet-nightjar;Caprimulgiformes;Aegothelidae;Least Concern;1;18;20;not a migrant;1;Stable;2;83900;5.4;2.449489743;7.071067812;0;0;0;0;0;1;1
