Species;Common name;Order;Family;Status;Status_code;Sizemin;Sizemax;Migratory status;migrant_code;Population trend;Trend_code;Extent of occurrence (km2);Generation length (yrs);SSI_Diet;SSI_Habitat;Neartic;Paleartic;Afrotropical;Neotropical;Indomalayan;Australasian;Oceanic
Egretta picata;Pied Heron;Pelecaniformes;Ardeidae;Least Concern;1;43;55;full migrant;3;Stable;2;2420000;10.5;1.154700538;2.160246899;0;0;0;0;1;1;1
Egretta rufescens;Reddish Egret;Pelecaniformes;Ardeidae;Near Threatened;2;66;81;full migrant;3;Increasing;3;6670000;6.6;1.58113883;2.507132682;1;0;0;1;0;0;0
Egretta sacra;Pacific Reef-egret;Pelecaniformes;Ardeidae;Least Concern;1;58;66;full migrant;3;Stable;2;88800000;6.6;1.154700538;1.625686668;0;1;0;0;1;1;1
Egretta thula;Snowy Egret;Pelecaniformes;Ardeidae;Least Concern;1;47.5;68;full migrant;3;Increasing;3;51400000;6.8;1.58113883;4;1;0;0;1;0;0;0
Egretta tricolor;Tricolored Heron;Pelecaniformes;Ardeidae;Least Concern;1;90;90;full migrant;3;Stable;2;24700000;6.4;1.914854216;2.738612788;1;0;0;1;0;0;0
Egretta vinaceigula;Slaty Egret;Pelecaniformes;Ardeidae;Vulnerable;3;43;60;not a migrant;1;Decreasing;1;172000;6.6;1.914854216;4;0;0;1;0;0;0;0
Elachura formosa;Spotted Elachura;Elachuridae;Elachuridae;Least Concern;1;10;10;not a migrant;1;Decreasing;1;2840000;4.4;2.449489743;4.949747468;0;1;0;0;1;0;0
Elaenia albiceps;White-crested Elaenia;Passeriformes;Tyrannidae;Least Concern;1;14.5;15;full migrant;3;Stable;2;8010000;4.6;1.154700538;2.318404624;0;0;0;1;0;0;0
Elaenia brachyptera;Coopman's Elaenia;Passeriformes;Tyrannidae;Least Concern;1;13.5;13.5;not a migrant;1;Decreasing;1;78900;4.6;1.58113883;2.507132682;0;0;0;1;0;0;0
Elaenia cherriei;Hispaniolan Elaenia;Passeriformes;Tyrannidae;Least Concern;1;14.5;16;not a migrant;1;Decreasing;1;50300;4.6;1.58113883;3.4278273;0;0;0;1;0;0;0
Elaenia chiriquensis;Lesser Elaenia;Passeriformes;Tyrannidae;Least Concern;1;13.5;14;full migrant;3;Decreasing;1;15000000;4.6;1.58113883;2.507132682;0;0;0;1;0;0;0
Elaenia cristata;Plain-crested Elaenia;Passeriformes;Tyrannidae;Least Concern;1;14.5;14.5;not a migrant;1;Decreasing;1;9480000;4.6;1.58113883;4;0;0;0;1;0;0;0
Elaenia dayi;Great Elaenia;Passeriformes;Tyrannidae;Least Concern;1;20;20;not a migrant;1;Decreasing;1;88900;4.6;1.58113883;3.033150178;0;0;0;1;0;0;0
Elaenia fallax;Large Jamaican Elaenia;Passeriformes;Tyrannidae;Least Concern;1;15;15;not a migrant;1;Decreasing;1;7800;4.6;1.58113883;3.4278273;0;0;0;1;0;0;0
Elaenia flavogaster;Yellow-bellied Elaenia;Passeriformes;Tyrannidae;Least Concern;1;16;17;not a migrant;1;Stable;2;19400000;4.6;1.58113883;2.738612788;0;0;0;1;0;0;0
Elaenia frantzii;Mountain Elaenia;Passeriformes;Tyrannidae;Least Concern;1;14;14;not a migrant;1;Stable;2;2230000;4.6;1.58113883;3.033150178;0;0;0;1;0;0;0
Elaenia gigas;Mottle-backed Elaenia;Passeriformes;Tyrannidae;Least Concern;1;18;18;not a migrant;1;Increasing;3;1830000;4.6;1.58113883;3.033150178;0;0;0;1;0;0;0
Elaenia mesoleuca;Olivaceous Elaenia;Passeriformes;Tyrannidae;Least Concern;1;14;16;full migrant;3;Stable;2;2480000;4.6;1.58113883;4;0;0;0;1;0;0;0
Elaenia obscura;Highland Elaenia;Passeriformes;Tyrannidae;Least Concern;1;16;18;not a migrant;1;Stable;2;1450000;4.6;1.58113883;3.4278273;0;0;0;1;0;0;0
Elaenia olivina;Tepui Elaenia;Passeriformes;Tyrannidae;Least Concern;1;14.5;14.7;not a migrant;1;Stable;2;297000;4.6;1.58113883;2.738612788;0;0;0;1;0;0;0
Elaenia pallatangae;Sierran Elaenia;Passeriformes;Tyrannidae;Least Concern;1;14;14.5;not a migrant;1;Stable;2;1780000;4.6;1.914854216;2.738612788;0;0;0;1;0;0;0
Elaenia parvirostris;Small-billed Elaenia;Passeriformes;Tyrannidae;Least Concern;1;14.5;14.5;full migrant;3;Decreasing;1;3070000;4.6;1.58113883;2.507132682;0;0;0;1;0;0;0
Elaenia pelzelni;Brownish Elaenia;Passeriformes;Tyrannidae;Least Concern;1;18;18;not a migrant;1;Stable;2;1740000;4.6;1.58113883;3.4278273;0;0;0;1;0;0;0
Elaenia ridleyana;Noronha Elaenia;Passeriformes;Tyrannidae;Vulnerable;3;17;17;not a migrant;1;Stable;2;38;4.6;1.58113883;3.033150178;0;0;0;1;0;0;0
Elaenia ruficeps;Rufous-crowned Elaenia;Passeriformes;Tyrannidae;Least Concern;1;14.5;14.5;not a migrant;1;Stable;2;2720000;4.6;1.58113883;3.4278273;0;0;0;1;0;0;0
Elaenia sordida;Brazilian Elaenia;Passeriformes;Tyrannidae;Least Concern;1;18;20;not a migrant;1;Stable;2;2460000;4.6;1.58113883;3.4278273;0;0;0;1;0;0;0
Elaenia spectabilis;Large Elaenia;Passeriformes;Tyrannidae;Least Concern;1;18;19;full migrant;3;Decreasing;1;3910000;4.6;1.58113883;3.4278273;0;0;0;1;0;0;0
