scientificName,Article,Article_secondary_same_data,Study_type,Fishy_Study_Type,Sample_size_nests_monitored,Hypothesis_supported,Percent_nests_or_individuals_predated,Predator_and_prey_data,Experiment_control_site_or_spatial_variation,Experiment_sample_size,Experiment_confounding_variables_included,Experiment_sites_randomly_selected_REMOVE,Experiment_BACI,Study_location,Latitude,Longitude,Study_notes,Study_rodent,orig_study_ID
Gerygone insularis,"Recher, H.F. and Clark, S.S., 1974. A biological survey of Lord Howe Island with recommendations for the conservation of the island's wildlife. Biological Conservation, 6(4), pp.263-273.",BirdLife International. 2016. Gerygone insularis. The IUCN Red List of Threatened Species 2016: e.T22704724A93982219. https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22704724A93982219.en. Accessed on 09 November 2023.,Timing,,"",1,"",0,"","",,"","",Lord Howe Island,-31.5553,159.0821,"""""Gerygone insularis was an abundant endemic to Lord Howe Island, Australia, until the island was colonised by rats from a shipwreck in 1918. It was heard frequently in 1928 (Sharland 1929) but could not be found on a visit in 1936 (Hindwood 1940), and there are no subsequent records (Recher and Clark 1974).""""",Rattus,12
Lalage newtoni,"Thiollay, J.M. and Probst, J.M., 1999. Ecology and conservation of a small insular bird population, the Réunion cuckoo-shrike Coracina newtoni. Biological conservation, 87(2), pp.191-200.","",Predation,,"",1,"",0,"","",,"","",Réunion,-21.1151,55.5364,"""""From 16 broods, nine were unsuccessful (one destroyed by wind, one by a harrier and most others by rats)"""" """"Rats are widespread in all forest types and there is circumstancial evidence of cuckoo-shrike brood losses attributable to them.""""",Rattus,13
Dicrurus aldabranus,BirdLife International. 2016. Dicrurus aldabranus. The IUCN Red List of Threatened Species 2016: e.T22706943A94098323. https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22706943A94098323.en. Accessed on 10 November 2023.,"",Predation,,"",1,"",0,"","",,"","",Aldabra,-9.4237,46.3433,"""""Up to 8/10 studied nests are predated at the egg stage, mainly by crows Corvus spp., rats, coucals and bulbuls (Pycnonotidae), as observed or suggested by nest monitoring (SIF unpublished data)""""",Rattus,14
Aplonis fusca,BirdLife International. 2016. Aplonis fusca. The IUCN Red List of Threatened Species 2016: e.T22710511A94249210. https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22710511A94249210.en. Accessed on 10 November 2023.,"",Timing,,"",1,"",0,"","",,"","",Lord Howe Island,-31.5553,159.0821,"""""The extinction of the Lord Howe Island population was probably due to the arrival of black rat Rattus rattus on the island in 1918""""",Rattus rattus,15
Aplonis fusca,BirdLife International. 2016. Aplonis fusca. The IUCN Red List of Threatened Species 2016: e.T22710511A94249210. https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22710511A94249210.en. Accessed on 10 November 2023.,"",Timing,,"",0,"",0,"","",,"","",Norfolk Island,-29.0408,167.9547,"""""The last record was of the nominate subspecies on Norfolk Island in 1923"""" """"The reasons for the extinction of the Norfolk Island population are less clear cut because R. rattus did not reach the island until the 1940s.""""",Rattus rattus,16
Zosterops strenuus,BirdLife International. 2016. Zosterops strenuus. The IUCN Red List of Threatened Species 2016: e.T22714223A94406811. https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22714223A94406811.en. Accessed on 11 November 2023.,"",Timing,,"",1,"",0,"","",,"","",Lord Howe Island,-31.5553,159.0821,"""""It was very common before 1918 (McAllan et al. 2004), with the last records coming from 1908 (Hull 1909), but it plummeted to extinction following the arrival of black rats Rattus rattus on the island (Hindwood 1940). It could not be found in 1928 (Sharland 1929).""""",Rattus rattus,17
Foudia rubra,"Safford, R.J., 1997. Nesting success of the Mauritius Fody Foudia rubra in relation to its use of exotic trees as nest sites. Ibis, 139(3), pp.555-559.","Safford, R.J., 1997. The destruction of source and sink habitats in the decline of the Mauritius Fody, Foudia rubra, an island-endemic bird. Biodiversity & Conservation, 6, pp.513-527.",Predation,,"",1,"",0,"","",,"","",Mauritius,-20.3484,57.5522,"""""Most nesting failure resulted from nest predation, apparently by exotic Black Rats Rattus rattus and Crab-eating Macaques""""",Rattus rattus,18
Foudia flavicans,BirdLife International. 2016. Foudia flavicans. The IUCN Red List of Threatened Species 2016: e.T22719159A94614670. https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22719159A94614670.en. Accessed on 11 November 2023.,"",Timing,,"",0,"",0,"","",,"","",Rodrigues,-19.7245,63.4272,"""""Black rat Rattus rattus is a predator of eggs and chicks, but F. flavicans has survived alongside it for hundreds of years.""""",Rattus rattus,19
Foudia flavicans,BirdLife International. 2016. Foudia flavicans. The IUCN Red List of Threatened Species 2016: e.T22719159A94614670. https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22719159A94614670.en. Accessed on 11 November 2023.,"",Predation,,"",1,"",0,"","",,"","",Rodrigues,-19.7245,63.4272,"""""Black rat Rattus rattus is a predator of eggs and chicks, but F. flavicans has survived alongside it for hundreds of years.""""",Rattus rattus,20
Loxioides bailleui,"Banko, P.C., Oboyski, P.T., Slotterback, J.W., Dougill, S.J., Goltz, D.M., Johnson, L., Laut, M.E. and Murray, T.C., 2002. Availability of food resources, distribution of invasive species, and conservation of a Hawaiian bird along a gradient of elevation. Journal of Biogeography, 29(5‐6), pp.789-808.","Banko, P. C. and Farmer, C. 2014. Palila restoration research, 1996-2012. Hawai‘i Cooperative Studies Unit Technical Report HCSU-046. University of Hawai‘i at Hilo. Available at: http://www.uhh.hawaii.edu/hcsu/publications.php].",Temporal,,"",0,"",0,"","",,"","",Mauna Kea Volcano,-19.4721,-155.5922,"""""Rattus is rare in Loxioides habitat""""",Rattus rattus,21
