scientificName,Article,Article_secondary_same_data,Study_type,Fishy_Study_Type,Sample_size_nests_monitored,Hypothesis_supported,Percent_nests_or_individuals_predated,Predator_and_prey_data,Experiment_control_site_or_spatial_variation,Experiment_sample_size,Experiment_confounding_variables_included,Experiment_sites_randomly_selected_REMOVE,Experiment_BACI,Study_location,Latitude,Longitude,Study_notes,Study_rodent,orig_study_ID
Rowettia goughensis,"Cuthbert, R. and Hilton, G., 2004. Introduced house mice Mus musculus: a significant predator of threatened and endemic birds on Gough Island, South Atlantic Ocean?. Biological Conservation, 117(5), pp.483-489.","",Spatial,,"",1,"",1,1,1,0,0,0,Gough Island,-40.3186,-9.9353,"""""Predation of artificial nests over a 24-h period was significantly higher in the lowland tussock and fernbush habitat of Gough Island in comparison to the upland wet heath habitat, with 35/39 (90%) of nests predated in the lowland habitats in comparison with just 1/31 (3%) of nests predated in the upland (Log-likelihood test for difference between habitats Gc=31.5, P < 0.001). Of the 21 predated nests with eggs intact enough to examine for signs of predation, 18 (86%) had been predated by mice and 3 (14%) predated by Gough moorhens."""" """"House mice may also be restricting the distribution and population of Gough buntings to upland areas of Gough Island, where mice are much less abundant; a hypothesis supported by comparative predation rates of artificial eggs. Where mammalian predators are present, bird species often utilize ‘‘predator-proof’’ breeding sites such as cliffs (Burger and Gochfeld, 1994). The location of bunting nests on steep cliffs in the lowland areas of Gough Island (where mice are most abundant) fits this pattern, and contrasts with the location of nests on the ground in upland areas.""""",Mus musculus,46
Apteryx mantelli,"Gillies, C.A., Leach, M.R., Coad, N.B., Theobald, S.W., Campbell, J., Herbert, T., Graham, P.J. and Pierce, R.J., 2003. Six years of intensive pest mammal control at Trounson Kauri Park, a Department of Conservation “mainland island”, June 1996—July 2002. New Zealand Journal of Zoology, 30(4), pp.399-420.","",Temporal,,"",0,"",1,?,1,0,"",0,Trounson Kauri Park,-35.7199752,173.6493761,Figure 3 vs Table 4,Rattus,47
Alectroenas payandeei,BirdLife International. 2017. Alectroenas payandeei (amended version of 2016 assessment). The IUCN Red List of Threatened Species 2017: e.T62759683A119206636. https://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T62759683A119206636.en. Accessed on 28 November 2023.,"",Timing,,"",1,"",0,"","",,"","",Rodrigues,-19.7245,63.4272,"""""The island was used as a refurbishment station for shipping from at least 1601, presumably leading to the arrival of rats, which were noted to be present in large numbers in 1691-1693 (Leguat 1708, in Hume and Walters 2012) and likely drove the species to extinction.""""",Rattus rattus,48
Aplonis ulietensis,BirdLife International. 2017. Aplonis ulietensis (amended version of 2016 assessment). The IUCN Red List of Threatened Species 2017: e.T22734867A119212332. https://dx.doi.org/10.2305/IUCN.UK.2017-3.RLTS.T22734867A119212332.en. Accessed on 28 November 2023.,"",Timing,,"",1,"",0,"","",,"","",Raiatea,-16.8164,-151.4552,"""""This Extinct species is known only from a 1774 painting of the type specimen, contemporary descriptions and a few field notes. It occurred on Raiatea (French Polynesia). An expedition to the island in 1850 failed to find the species, and it likely became extinct between 1774-1850 following the arrival of rats on the island.""""",Rattus norvegicus,49
Icterus oberi,"Allcorn, R.I., Hilton, G.M., Fenton, C., Atkinson, P.W., Bowden, C.G., Gray, G.A., Hulme, M., Madden, J., Mackley, E.K. and Oppel, S., 2012. Demography and breeding ecology of the critically endangered Montserrat Oriole. The Condor, 114(1), pp.227-235.","",Predation,,33,1,0.24,0,"","",,"","",Montserrat,16.7425,-62.1874,"""""Both rats (n = 8) and Pearly-eyed Thrashers (n = 7) were recorded in similar proportions as nest predators.""""","Rattus rattus, Rattus norvegicus",50
Chasiempis sclateri,"Hammond, R.L., 2016. Daily survival rate of nests is lower in fruiting than non-fruiting tree species for a Hawaiian forest bird, the Kaua̒i ̒elepaio (Chasiempis sclateri). The Wilson Journal of Ornithology, 128(3), pp.584-592.","",Predation,,"",0,"",0,"","",,"","",Kauai,22.0964,-159.5261,"""""My results support the hypothesis that tree reproductive strategy may contribute to the variability in DSR, but I did not have evidence (e.g., pictures) that the non-native black rat (Rattus rattus) was the primary predator in this study.""""",Rattus rattus,51
Zosterops chloronothos,"Nichols, R.K., Woolaver, L.G. and Jones, C.G., 2005. Breeding biology of the endangered Mauritius Olive White-eye Zosterops chloronothos. Ostrich, 76(1&2), pp.1-7.","",Predation,,6,1,83%,0,"","",,"","","Black River Gorges National Park, Mauritius",-20.4264,57.4509,"""""Four nests, all with nestlings less than five days old, were emptied but intact which is consistent with nest predation by the highly arboreal Ship Rat Rattus rattus on Mauritius... The other nest was predated during incubation with one egg having been eaten along the longitudinal axis and with several smaller pieces of eggshell being found below the intact nest, all of which is consistent with egg predation by R. rattus""""",Rattus rattus,52
Zosterops chloronothos,"Maggs, G., Nicoll, M., Zuël, N., White, P.J., Winfield, E., Poongavanan, S., Tatayah, V., Jones, C.G. and Norris, K., 2015. Rattus management is essential for population persistence in a critically endangered passerine: Combining small-scale field experiments and population modelling. Biological Conservation, 191, pp.274-281.","",Lethal control,,"",1,"",1,1,7 sites,1,1,0,"Black River Gorges National Park, Mauritius",-20.4264,57.4509,"""""Rat management had a significant effect on [nestling survival rate] increasing survival from 85% with Control management to 93% and 98% with Trap and Poison management, respectively"""". *No data is provided linking rat abundance with any Z. chloronothos parameter, nor is data provided that could be linked in this way.","Rattus rattus, Rattus norvegicus",53
Zosterops rotensis,"Berry, L. and Taisacan, E., 2008. Nest success and nest predation of the Endangered Rota White-eye (Zosterops rotensis). The Wilson Journal of Ornithology, 120(3), pp.618-619.","",Predation,,"",0,"",0,"","",,"","",Micronesia,7.4256,150.5508,"""""We filmed six nests and captured two nest predation events on video. A Mariana Crow (Corvus kubaryi), which is also an endangered species, was filmed taking nestlings from one white-eye nest. Another nest containing eggs was depredated by a rat (Rattus spp.); however, this may have occurred after the nest was abandoned due to the presence of the camera.""""",Rattus,54
Charadrius obscurus,"Dowding, J.E. and Murphy, E.C., 1993. Decline of the Stewart Island population of the New Zealand dotterel. Notornis, 40(1), p.1ò14.","",Timing,,"",0,"",0,"","",,"","",Stewart Island,-47.0103,167.8272,"""""Why predation is having such an impact now is not clear. Cats (and rats) have probably been on Stewart Island for 150 years or more; if they had been killing dotterels at the present rate for long, the population should have disappeared many years ago.""""",Rattus rattus,55
Myadestes palmeri,"Tweed, E.J., Foster, J.T., Woodworth, B.L., Monahan, W.B., Kellerman, J.L. and Lieberman, A., 2006. Breeding biology and success of a reintroduced population of the critically endangered Puaiohi (Myadestes palmeri). The Auk, 123(3), pp.753-763.","",Predation,,24,1,33%,,"","",,"",0,Kauai,22.0964,-159.5261,Table 2,Rattus,56
Myadestes palmeri,"Tweed, E.J., Foster, J.T., Woodworth, B.L., Monahan, W.B., Kellerman, J.L. and Lieberman, A., 2006. Breeding biology and success of a reintroduced population of the critically endangered Puaiohi (Myadestes palmeri). The Auk, 123(3), pp.753-763.","",Lethal control,,"",0,"",1,1,12 nests,0,0,0,Kauai,22.0964,-159.5261,Table 2,Rattus,57
Myadestes palmeri,"VanderWerf, E.A., Crampton, L.H., Diegmann, J.S., Atkinson, C.T. and Leonard, D.L., 2014. Survival estimates of wild and captive-bred released Puaiohi, an endangered Hawaiian thrush. The Condor: Ornithological Applications, 116(4), pp.609-618.","",Predation,,"",1,"",0,"","",,"","",Kauai,22.0964,-159.5261,"""""The difference between adult male and adult female survival is consistent with rat (Rattus spp.) predation of females on the nest as a major source of mortality.""""",Rattus,58
Myadestes palmeri,"Snetsinger, T.J., Herrmann, C.M., Holmes, D.E., Hayward, C.D. and Fancy, S.G., 2005. Breeding ecology of the Puaiohi (Myadestes palmeri). The Wilson Bulletin, 117(1), pp.72-84.","",Predation,,81,1,0.05,,"","",,"","",Kauai,22.0964,-159.5261,"""""Nest fate and nest protection with rat poison were not independent (x2 5 11.62, df 5 4, P 5 0.020). At protected nests, rat predation was 0%, owl or unknown predation was 3.7%, non-predation failure was 0%, unknown failure was 0%, and 96.3% fledged $1 young. At unprotected nests, rat predation was 7.4%, owl or unknown predation was 13.0%, non-predation failure was 16.7%, unknown failure was 1.9%, and 61.1% fledged $1 young. Nest failures confirmed to have been caused by rat predation increased from 0% in 1996 and 1997 to 36% (n 5 11 failures) in 1998, when eggs, nestlings, and an incubating female Puaiohi were depredated by rats. However, 8% of nests in 1996 and 3% of nests in 1997 failed due to unknown causes, at least a portion of which may have been caused by rat predation.",Rattus rattus,59
Myadestes palmeri,"Snetsinger, T.J., Herrmann, C.M., Holmes, D.E., Hayward, C.D. and Fancy, S.G., 2005. Breeding ecology of the Puaiohi (Myadestes palmeri). The Wilson Bulletin, 117(1), pp.72-84.","",Lethal control,,"",1,"",1,1,"27, 54 nests",0,0,0,Kauai,22.0964,-159.5261,"""""There was no evidence of rat predation at any of the nests with rat bait stations.""""",Rattus rattus,60
Anas laysanensis,BirdLife International. 2018. Anas laysanensis. The IUCN Red List of Threatened Species 2018: e.T22680203A130697270. https://dx.doi.org/10.2305/IUCN.UK.2018-2.RLTS.T22680203A130697270.en. Accessed on 02 December 2023.,"VanderWerf, E. A. 2012. Hawaiian Bird Conservation Action Plan: NWHI Passerines. Honolulu, Hawaii http://large.stanford.edu/courses/2017/ph241/lewis1/docs/HBCAP_complete1.pdf",Timing,,"",0,"",0,"","",,"","",Hawaii,19.8987,-155.6659,"""""Since the severe range contraction of the species from the main Hawaiian Islands after the introduction of rats"""". Second REF: """"Fossil and subfossil evidence indicates that Laysan Ducks were widespread in the Hawaiian Islands prior to the arrival of rats (Rattus spp.) and occurred on Hawai‘i, Moloka‘i, O‘ahu, Maui, and Kaua‘i (USFWS 2004).... Laysan Ducks disappeared from the main Hawaiian Islands 800– 900 years ago after rats were introduced""""",Rattus,61
Oreomystis bairdi,"Hammond, R.L., Crampton, L.H. and Foster, J.T., 2015. Breeding biology of two endangered forest birds on the island of Kauai, Hawaii. The Condor: Ornithological Applications, 117(1), pp.31-40.","",Predation,,8,1,Unidenfieid rodent predated 1 nest,,"","",,"","",Kauai,22.0964,-159.5261,Table 1,Rodent,62
Oreomystis bairdi,"VanderWerf, E. A. 2012. Hawaiian Bird Conservation Action Plan: NWHI Passerines. Honolulu, Hawaii http://large.stanford.edu/courses/2017/ph241/lewis1/docs/HBCAP_complete1.pdf","",Predation,,"",1,"",,"","",,"","",Kauai,22.0964,-159.5261,"""""Predation on ‘Akikiki and ‘Akeke’e nests by rats has been documented by the KFBRP""""",Rattus,63
Loxops caeruleirostris,"Hammond, R.L., Crampton, L.H. and Foster, J.T., 2015. Breeding biology of two endangered forest birds on the island of Kauai, Hawaii. The Condor: Ornithological Applications, 117(1), pp.31-40.","",Predation,,8,0,0,,"","",,"","",Kauai,22.0964,-159.5261,Table 1,Rattus,64
Loxops caeruleirostris,"VanderWerf, E. A. 2012. Hawaiian Bird Conservation Action Plan: NWHI Passerines. Honolulu, Hawaii http://large.stanford.edu/courses/2017/ph241/lewis1/docs/HBCAP_complete1.pdf","",Predation,,"",1,"",,"","",,"","",Kauai,22.0964,-159.5261,"""""Predation on ‘Akikiki and ‘Akeke’e nests by rats has been documented by the KFBRP""""",Rattus,65
Zosterops albogularis,BirdLife International. 2018. Zosterops albogularis. The IUCN Red List of Threatened Species 2018: e.T22714229A130968395. https://dx.doi.org/10.2305/IUCN.UK.2018-2.RLTS.T22714229A130968395.en. Accessed on 03 December 2023.,"",Timing,,"",1,"",0,"","",,"","",Norfolk Island,-29.0408,167.9547,"""""There have been a number of other reports during 1978-2005, however a three-week survey in 2009 failed to find the species and estimated a 90% chance that the species is functionally extinct .... The principal threat is probably predation by black rat Rattus rattus, which is thought to have been introduced in the mid-1940s.""""",Rattus rattus,66
Pterodroma magentae,BirdLife International. 2018. Pterodroma magentae. The IUCN Red List of Threatened Species 2018: e.T22698049A131879320. Accessed on 08 December 2023.,"",Predation,,"",1,"",0,"","",,"","",Chatham Island,-43.9271,-176.4592,"""""Introduced species have previously represented the largest threat to this species, with pigs, cats and dogs predating adults and many other species, such as rats, hedgehogs, Weka and possums depredating nests and causing a loss of reproductive success.""""",Rattus,67
Chlidonias albostriatus,"Bell, M., 2017. Population size, breeding success and predators of black-fronted tern (Chlidonias albostriatus) in the Upper Clarence River catchment, New Zealand. Notornis, 64(3), pp.154-161.","",Predation,,1510,1,0.927%,0,"","",,"","",Clarence River,-42.10389,172.71611,"""""A total of 1,510 breeding attempts were followed, comprising 568 in 2012, 508 in 2013 and 434 in 2014 (Table 2)….Trail cameras recorded predation events at 110 nests (13 in 2012, 34 in 2013 and 63 in 2014; Table 3)...ship rats (14 events, 12.7%)""""",Rattus norvegicus,68
Chlidonias albostriatus,"Steffens, K.E., Sanders, M.D., Gleenson, D.M., Pullen, K.M. and Stowe, C.J., 2012. Identification of predators at black-fronted tern Chlidonias albostriatus nests, using mtDNA analysis and digital video recorders. New Zealand Journal of Ecology, pp.48-55.","",Predation,,85,1,2.35%,0,"","",,"","",Wairau,-41.5653,173.5286,"""""digital video surveillance of 85 nests...ship rats (Rattus rattus; 2/19)",Rattus rattus,69
Chlidonias albostriatus,"Keedwell, R.J., 2005. Breeding biology of Black-fronted Terns (Sterna albostriata) and the effects of predation. Emu-Austral Ornithology, 105(1), pp.39-47.","",Predation,,1022,0,0,0,"","",,"","",Ohau River,-44.32888384,170.1786459,"""""1022 nests…"""" rats not identified among predators",Rattus norvegicus,70
Chlidonias albostriatus,"Keedwell, R.J., Sanders, M.D., Alley, M. and Twentyman, C., 2002. Causes of mortality of black-fronted terns Sterna albostriata on the Ohau River, South Island, New Zealand. Pacific Conservation Biology, 8(3), pp.170-176.","",Predation,,"",1,"",0,"","",,"","",Ohau River,-44.32888384,170.1786459,"""""Norway Rats were not observed killing terns. However, on four occasions over two-thirds of the chicks and some juveniles in a colony dizappeared in less than a week, coinciding with the appearance of rat-eaten remains (Keedwell 2002). The remains of 36 terns were classified as possible rat predations based on the location of and evidence on the carcass, and the presence of Norway Rat faecal pellets.""""",Rattus norvegicus,71
Emberiza jankowskii,"Jiang, Y.L., Gao, W., Lei, F.M., Wang, H.T., Wan, D.M. and Zhao, J., 2008. Nesting biology and population dynamics of Jankowski's Bunting Emberiza jankowskii in Western Jilin, China. Bird Conservation International, 18(2), pp.153-163.","",Predation,,"",1,"",0,"","",,"","",Jilin,43.8378,126.5494,"""""Table 2. Summary of Jankowski’s Bunting egg and nestling loss, 1999–2001...Associated with predation from snakes, ants, rats and falcons""""",Rattus,72
Vini ultramarina,"Doukas, T. and Ziembicki, M., 2022. Conservation status and biology of the Ultramarine Lorikeet Vini ultramarina in the Marquesas Islands, French Polynesia. Bird Conservation International, 32(1), pp.111-126.","",Timing,,"",1,"",0,"","",,"","",Fatu Hiva,-10.4905,-138.6489,"""""the decline of the Ultramarine Lorikeet from Nuku Hiva and Ua Pou, and from Fatu Hiva to where it was previously translocated (Kuehler et al. 1997), coincides with the introduction of the black rat Rattus rattus""""",Rattus rattus,73
Vini ultramarina,"Doukas, T. and Ziembicki, M., 2022. Conservation status and biology of the Ultramarine Lorikeet Vini ultramarina in the Marquesas Islands, French Polynesia. Bird Conservation International, 32(1), pp.111-126.","",Spatial,,"",1,"",0,"","",,"","",Fatu Hiva,-10.4905,-138.6489,"""""The only remaining robust population of Ultramarine Lorikeets was confined to the small, rat-free island of Ua Huka with approximate estimates of between 1,000 and 1,500 individuals in 1991""""",Rattus rattus,74
Vini ultramarina,"Seitre, J., 1992. Causes of land-bird extinctions in French Polynesia. Oryx, 26(4), pp.215-222.","",Spatial,,"",1,"",1,1,3,0,"",0,French Polynesia,-17.6797,-149.4068,Table 2,Rattus rattus,75
Pomarea dimidiata,"Robertson, H.A., Hay, J.R., Saul, E.K. and Mccormack, G.V., 1994. Recovery of the kakerori: an endangered forest bird of the Cook Islands. Conservation Biology, 8(4), pp.1078-1086.","Chan, C.H., Robertson, H.A., Saul, E.K., Nia, L.V., Luong, V.P., Kong, X., Zhao, Y. and Chambers, G.K., 2011. Genetic variation in the kakerori (Pomarea dimidiata), an endangered endemic bird successfully recovering in the Cook Islands. Conservation Genetics, 12, pp.441-447; BirdLife International. 2018. Pomarea dimidiata. The IUCN Red List of Threatened Species 2018: e.T22707172A132072143. https://dx.doi.org/10.2305/IUCN.UK.2018-2.RLTS.T22707172A132072143.en. Accessed on 14 December 2023.",Lethal control (temporal),,"",1,"",1,1,1,0,0,0,Rarotonga,-21.2292,-159.7763,"""""nesting success was significantly better where we poisoned rats"""" In the Chan study Fig. 2 shows that Kakerori population size on Rarotonga increased between 1987 and 2007 to around 300 birds; the IUCN now lists them as 500 (including an introduced population)",Rattus rattus,76
Mimus trifasciatus,"Curry, R.L., 1986. Whatever happened to the Floreana mockingbird? Notícias de Galápagos 43: 13-15.","",Predation,,Unknown,1,30%,0,"","",,"","",Floreana Island,-1.3083,-90.4314,"""""My studies on San Cristóbal in 1984indicated that introduced black rats(Rattus rattus) can have a large detrimental impact on mockingbird nesting success. Clutches in at least 31% of the nests 1 studied at Cerro Brujo on San Cristóbal were destroyed by rats""""",Rattus rattus,77
Puffinus bryani,"Kawakami, K., Eda, M., Horikoshi, K., Suzuki, H., Chiba, H. and Hiraoka, T., 2012. Bryan's shearwaters have survived on the Bonin Islands, northwestern Pacific. The Condor, 114(3), pp.507-512.","",Predation,,"",1,"",0,"","",,"","",Higashijima Island,26.9642,142.1063,"""""On Higashijima Island, we found three carcasses of the Bryan’s Shearwater that had been preyed upon by rats""""",Rattus rattus,78
Pterodroma sandwichensis,"Raine, A.F., Driskill, S., Vynne, M., Harvey, D. and Pias, K., 2020. Managing the effects of introduced predators on Hawaiian endangered seabirds. The Journal of Wildlife Management, 84(3), pp.425-435.","",Predation,,"",1,"",0,"","",,"","",Kauai,22.0964,-159.5261,"""""We confirmed 309 endangered sea- birds as killed by introduced predators over the 7‐year study period, consisting of 57 Newell's shearwaters, 208 Hawaiian petrels, and 44 unidentified procellariids. Of the 309 dep- redations, 110 (35.6%) were by cats, 155 (50.2%) by black rats, 32 by pigs (10.4%), and 12 (3.9%) by barn owl."""" / """"Figure 2. Age classes of Newell's shearwater and Hawaiian petrel (both species combined) targeted by different introduced predators""""",Rattus,79
Pterodroma sandwichensis,"Raine, A.F., Driskill, S., Vynne, M., Harvey, D. and Pias, K., 2020. Managing the effects of introduced predators on Hawaiian endangered seabirds. The Journal of Wildlife Management, 84(3), pp.425-435.","",Lethal control (temporal),,"",1,"",1,0,1,0,0,0,Kauai,22.0964,-159.5261,"""""To consider the overall effectiveness of predator control, we compared the percentage change in reproductive success rate at monitored burrows at each site in the first year of monitoring (yr zero) with the most recent year when predator control operations were most refined (yr 2017). Reproductive success rate increased at all sites by a mean of 48.5% (range = 22.5–100.0%) for Hawaiian petrel and 35.8% (28.8% and 42.9%, respectively, for the 2 sites with monitored burrows of this species) for Newell's shearwater....The percentage of burrows depredated in 2017 was significantly lower than in year zero for cats (percent change; −68.1%, χ12 = 5.03, P = 0.025), black rats (percent change; −86.2%, χ12 = 23.21, P ≤ 0.001), and pigs (percent change; −100.0%, χ12 = 15.09, P ≤ 0.001; Fig. 3)""""",Rattus,80
Puffinus myrtae,"Ismar, S.M., Baird, K.A., Gaskin, C.P., Taylor, G.A., Tennyson, A.J., Rayner, M.J., Bettesworth, D.E.R.E.K., Fitzgerald, N.E.I.L., Landers, T.J. and Imber, M.J., 2014. A case of natural recovery after the removal of invasive predators–community assemblage changes in the avifauna of Burgess Island. Notornis, 61, pp.188-195.","",Timing,,"",1,"",0,"","",,"","",Burgess Island,-35.9052,175.1136,"""""Since becoming rat-free, Burgess Island has transformed into a seabird biodiversity hotspot, with the island now known to support 7 species of burrowing Procellariiformes (Ismar et al. 2012): grey- faced petrel (Pterodroma macroptera gouldi), fluttering shearwater (Puffinus gavia), sooty shearwater (Puffinus griseus), little shearwater (Puffinus assimilis), common diving petrel (Pelecanoides urinatrix), and white-faced storm petrel (Pelagodroma marina), all of which were confirmed in our October 2010 research trip.""""",Rattus exulans,81
Puffinus myrtae,"Pierce, R.J., 2002. Kiore (Rattus exulans) impact on breeding success of Pycroft's petrels and little shearwaters (p. 24). Wellington: Department of Conservation.","",Temporal,,"",1,"",1,"",2,0,"",0,"Lady Alice Island, Coppermine Island",-35.8911,174.7303,"""""The general pattern was similar on both islands with productivity being highest in the absence of kiore (Fig. 3, Table 5). Thus on Lady Alice I., productivity averaged 43% (range 38–50%) in the presence of rats and 68% (range 52–86%) in their absence (χ2 = 3.76, 1 d.f., n = 173 nests, P > 0.05). On Coppermine I., productivity averaged only about 5% in the two years when kiore were present and 56% in the three years after kiore were removed (χ2 = 16.01, 1 d.f., n = 92 nests, P < 0.001).""""",Rattus exulans,82
Puffinus myrtae,"Pierce, R.J., 2002. Kiore (Rattus exulans) impact on breeding success of Pycroft's petrels and little shearwaters (p. 24). Wellington: Department of Conservation.","",Predation,,"",1,"",0,"","",,"","","Lady Alice Island, Coppermine Island",-35.8911,174.7303,"""""Six nests had sign of their eggs having been eaten by rats""""",Rattus exulans,83
Larus fuliginosus,BirdLife International. 2018. Larus fuliginosus. The IUCN Red List of Threatened Species 2018: e.T22694452A132552501. https://dx.doi.org/10.2305/IUCN.UK.2018-2.RLTS.T22694452A132552501.en. Accessed on 17 December 2023.,"",Predation,,"",1,"",0,"","",,"","",Galápagos Islands,-0.9538,-90.9656,"""""Invasive non-native species also pose a threat, particularly House Rats Rattus rattus, cats Felis catus and dogs Canis familiaris which have been shown to predate Lava Gull nests (Wiedenfeld and Jiménez-Uzcátegui 2008, Cepeda and Cruz 1994)."""" Cannot access Cepeda which is possibly why this statement mentions rats",Rattus,84
Larosterna inca,BirdLife International. 2018. Larosterna inca. The IUCN Red List of Threatened Species 2018: e.T22694834A132576903. https://dx.doi.org/10.2305/IUCN.UK.2018-2.RLTS.T22694834A132576903.en. Accessed on 17 December 2023.,"",Predation,,"",1,"",0,"","",,"","",Punta San Juan,13.2059,-88.5384,"""""Mass reproductive failure can also be caused by rat predation, as recorded in Punta San Juan (Merino 2017)"""" Study is not in English",Rattus,85
Synthliboramphus wumizusume,BirdLife International. 2018. Synthliboramphus wumizusume. The IUCN Red List of Threatened Species 2018: e.T22694899A132580332. https://dx.doi.org/10.2305/IUCN.UK.2018-2.RLTS.T22694899A132580332.en. Accessed on 17 December 2023.,"",Predation,,"",1,"",0,"","",,"","",Koya Island (coordinates used for Kyushu),32.59,130.8,"""""In 1987, the remains of 145 individuals were found on Koya Island, where the birds had apparently been killed by rats (Takeishi 1987, Ono 1993). The estimated total mortality was 414 birds."""" References unavailable online",Rattus,86
Synthliboramphus wumizusume,BirdLife International. 2018. Synthliboramphus wumizusume. The IUCN Red List of Threatened Species 2018: e.T22694899A132580332. https://dx.doi.org/10.2305/IUCN.UK.2018-2.RLTS.T22694899A132580332.en. Accessed on 17 December 2023.,"",Timing,,"",1,"",0,"","",,"","",Koya-Jima (coordinates used for Kyushu),32.59,130.8,"""""Brown rat Rattus norvegicus has been introduced to some nesting colonies and almost extirpated the population on Koya-Jima, before rats were been eradicated in 1987/198""""",Rattus norvegicus,87
Fratercula arctica,"Stempniewicz, L. and Jensen, J.K., 2007. Puffin harvesting and survival at Nólsoy, The Faeroes. Ornis Svecica, 17(2), pp.95-99.","",Predation,,"",0,"",0,"","",,"","",Nólsoy,61.9795,-6.6483,"""""Neither large gulls nor any other predators were seen during the study. Hence, predation was considered insignificant in the colony during the study period.""""",Rattus,88
Fratercula arctica,"Lock, J., 2006. Eradication of brown rats Rattus norvegicus and black rats Rattus rattus to restore breeding seabird populations on Lundy Island, Devon, England. Conservation Evidence, 3(1), pp.111-113.","",Timing,,"",1,"",0,"","",,"","",Lundy,51.1781,-4.6673,"""""After the rats were removed, both Manx shearwaters and Atlantic puffins returned to Lundy to breed after an absence of many years.""""","Rattus rattus, Rattus norvegicus",89
Fratercula arctica,BirdLife International. 2018. Fratercula arctica. The IUCN Red List of Threatened Species 2018: e.T22694927A132581443. https://dx.doi.org/10.2305/IUCN.UK.2018-2.RLTS.T22694927A132581443.en. Accessed on 21 December 2023.,"",Predation,,"",1,"",0,"","",,"","",Unknown,,,"""""Rats Rattus spp. depredate eggs and chicks""""",Rattus,90
Pterodroma cookii,"Rayner, M.J., Parker, K.A. and Imber, M.J., 2008. Population census of Cook's Petrel Pterodroma cookii breeding on Codfish Island (New Zealand) and the global conservation status of the species. Bird Conservation International, 18(3), pp.211-218.","",Timing,,"",1,"",0,"","",,"","",Codfish Island,-46.7733,167.6321,"""""The Cook’s Petrel population on Codfish Island appears to have increased markedly since Weka (Gallirallis australis ) and Pacific Rat (Rattus exulans) were eradicated in 1980 and 1998""""…""""Comparison between our survey data and historic anecdotal observations of the distribution of Cook’s Petrel breeding on Codfish Island suggest that the population may have increased several times since the eradication of Weka in 1984. This increase may also have accelerated in the nine years since Pacific Rat eradication (Imber et al. 2003a).""""",Rattus exulans,91
Pterodroma cookii,"Imber, M.J., West, J.A. and Cooper, W.J., 2003. Cook's petrel (Pterodroma cookii): historic distribution, breeding biology and effects of predators. Notornis, 50(4), pp.221-230.","",Predation,,42,1,22.25%,0,"","",,"","",Little Barrier Island,-36.1946,175.0753,"""""Occasionally eggs were left unattended...all unattended eggs were eaten by Pacific rats"""" """"The predation rate on eggs by Pacific rats was 12.5% and 32% in 1972/73 and 1973/74 respectively. Equally detrimental was rat predation of chicks",Rattus exulans,92
Pterodroma cookii,"Imber, M.J., West, J.A. and Cooper, W.J., 2003. Cook's petrel (Pterodroma cookii): historic distribution, breeding biology and effects of predators. Notornis, 50(4), pp.221-230.","",Spatiotemporal,,"",1,"",1,1,1,1,1,0,Little Barrier Island,-36.1946,175.0753,"""""On Whenua Hou (Table 5), breeding success in the presence of rats was significantly lower (x2=50.4,1 df, P<0.001)in the high study area than in the low study area, but it increased significantly (x2=29.3,1 df, P<0.001) in the high study area followine eradication of rats. In the low studv area..."""" continued in manuscript (can't copy)",Rattus exulans,93
Pterodroma cookii,BirdLife International. 2018. Pterodroma cookii. The IUCN Red List of Threatened Species 2018: e.T22697975A132616449. https://dx.doi.org/10.2305/IUCN.UK.2018-2.RLTS.T22697975A132616449.en. Accessed on 28 December 2023.,"",Timing,,"",1,"",0,"","",,"","",Little Barrier Island,-36.1946,175.0753,"""""the status of the species has improved, in particular following the successful eradication of the last introduced predators (Pacific rat Rattus exulans) on Little Barrier Island (where by far the largest numbers breed), leading to an increase in fledging success from 5% to 70%"""" Unclear where this data comes from.",Rattus exulans,94
Pterodroma cookii,"Rayner, M.J., Hauber, M.E. and Clout, M.N., 2007. Breeding habitat of the Cook’s Petrel (Pterodroma cookii) on Little Barrier Island (Hauturu): implications for the conservation of a New Zealand endemic. Emu, 107(1), pp.59-68.","",Timing,,"",0,"",0,"","",,"","",Little Barrier Island,-36.1946,175.0753,"""""Predation, however, fails to explain the presence (and survival during pre-Pacific Rat and pre-Cat eradications) of the low-altitude colonies of Cook’s Petrel present in our study. Alternative explanations may be that the colonies were established during the 26 years since eradication of Cats, or that localised Cat control conducted by resident rangers (Veitch 2001) may have helped to protect these sites.""""",Rattus exulans,95
Pterodroma pycrofti,"Pierce, R.J., 2002. Kiore (Rattus exulans) impact on breeding success of Pycroft's petrels and little shearwaters (p. 24). Wellington: Department of Conservation.","",Temporal,,"",1,"",1,"",2,0,"",0,"Lady Alice Island, Coppermine Island",-35.8911,174.7303,"""""Pooling these three years’ data revealed a lower breeding success on ‘kiore present’ Coppermine I. (average 29%) than on ‘kiore absent’ Lady Alice I. (54%), which was a highly significant result (χ2 = 7.86, 1 d.f., n = 213 nests, P < 0.01).""""",Rattus exulans,96
