assessmentId,internalTaxonId,scientificName,Common_name,Synonyms_or_previous_lump,Original_rodents_attributed_IUCN,redlistCategory,redlistCriteria,Primary_causes,Rodent_primary,Rodent_only_primary,has_study,orig_attrib_ID,Rodent_attributed,Location_species_comment,Location_species_reference
119548740,103780109,Acrocephalus nijoi,Aguijan Reed-warbler,,Rattus exulans,Extinct,,"Rats, cats",1,0,No,113,Rattus exulans,Aguiguan = Aguijan,"Adams, A.A.Y., Stanford, J.W., Wiewel, A.S. and Rodda, G.H., 2011. Modelling detectability of kiore (Rattus exulans) on Aguiguan, Mariana Islands, to inform possible eradication and monitoring efforts. New Zealand Journal of Ecology, pp.145-152."
94427198,22714791,Acrocephalus rehsei,Nauru Reed-warbler,,"Rattus rattus, Rattus exulans",Vulnerable,D2,Habitat loss,0,0,No,50,Rattus rattus,,"Atkinson IAE. 1985. The spread of commensal species of Rattus to oceanic islands and their effects on island avifaunas. Pages 35-81 in Moors PJ, editor. Conservation of Island Birds. Case Studies for the Management of Threatened Island Species. Symposium proceedings. ICBP Technical Publication No. 3, XVIII ICBP World Conference, Cambridhe, England."
94427198,22714791,Acrocephalus rehsei,Nauru Reed-warbler,,"Rattus rattus, Rattus exulans",Vulnerable,D2,Habitat loss,0,0,No,50,Rattus exulans,,"Atkinson IAE. 1985. The spread of commensal species of Rattus to oceanic islands and their effects on island avifaunas. Pages 35-81 in Moors PJ, editor. Conservation of Island Birds. Case Studies for the Management of Threatened Island Species. Symposium proceedings. ICBP Technical Publication No. 3, XVIII ICBP World Conference, Cambridhe, England."
171783171,22714826,Acrocephalus rimitarae,Rimatara Reed-warbler,Acrocephalus rimatarae,"Rattus exulans, Rattus norvegicus",Critically Endangered,B1ab(v),Unknown,0,0,No,237,Rattus exulans,,
171783171,22714826,Acrocephalus rimitarae,Rimatara Reed-warbler,Acrocephalus rimatarae,"Rattus exulans, Rattus norvegicus",Critically Endangered,B1ab(v),Unknown,0,0,No,237,Rattus norvegicus,,
94431545,22714874,Acrocephalus rodericanus,Rodrigues Warbler,Bebrornis rodericanus rodericanus,"Rattus rattus, Rattus norvegicus",Near Threatened,D2,"Rats, habitat loss, cats",1,0,No,52,Rattus rattus,Information used for Mauritius,"Atkinson IAE. 1985. The spread of commensal species of Rattus to oceanic islands and their effects on island avifaunas. Pages 35-81 in Moors PJ, editor. Conservation of Island Birds. Case Studies for the Management of Threatened Island Species. Symposium proceedings. ICBP Technical Publication No. 3, XVIII ICBP World Conference, Cambridhe, England."
94431545,22714874,Acrocephalus rodericanus,Rodrigues Warbler,Bebrornis rodericanus rodericanus,"Rattus rattus, Rattus norvegicus",Near Threatened,D2,"Rats, habitat loss, cats",1,0,No,52,Rattus norvegicus,Information used for Mauritius,"Atkinson IAE. 1985. The spread of commensal species of Rattus to oceanic islands and their effects on island avifaunas. Pages 35-81 in Moors PJ, editor. Conservation of Island Birds. Case Studies for the Management of Threatened Island Species. Symposium proceedings. ICBP Technical Publication No. 3, XVIII ICBP World Conference, Cambridhe, England."
180626682,22714832,Acrocephalus vaughani,Pitcairn Reed-warbler,,Rattus norvegicus,Endangered,B1ab(iii)+2ab(iii),Unknown,0,0,No,277,Rattus norvegicus,,
129328996,22689559,Aegotheles savesi,New Caledonian Owlet-nightjar,,"Rattus rattus, Rattus norvegicus, Rattus exulans",Critically Endangered,C2a(i); D,Unknown,0,0,No,125,Rattus rattus,,"Atkinson IAE. 1985. The spread of commensal species of Rattus to oceanic islands and their effects on island avifaunas. Pages 35-81 in Moors PJ, editor. Conservation of Island Birds. Case Studies for the Management of Threatened Island Species. Symposium proceedings. ICBP Technical Publication No. 3, XVIII ICBP World Conference, Cambridhe, England."
129328996,22689559,Aegotheles savesi,New Caledonian Owlet-nightjar,,"Rattus rattus, Rattus norvegicus, Rattus exulans",Critically Endangered,C2a(i); D,Unknown,0,0,No,125,Rattus norvegicus,,"Atkinson IAE. 1985. The spread of commensal species of Rattus to oceanic islands and their effects on island avifaunas. Pages 35-81 in Moors PJ, editor. Conservation of Island Birds. Case Studies for the Management of Threatened Island Species. Symposium proceedings. ICBP Technical Publication No. 3, XVIII ICBP World Conference, Cambridhe, England."
129328996,22689559,Aegotheles savesi,New Caledonian Owlet-nightjar,,"Rattus rattus, Rattus norvegicus, Rattus exulans",Critically Endangered,C2a(i); D,Unknown,0,0,No,125,Rattus exulans,,"Atkinson IAE. 1985. The spread of commensal species of Rattus to oceanic islands and their effects on island avifaunas. Pages 35-81 in Moors PJ, editor. Conservation of Island Birds. Case Studies for the Management of Threatened Island Species. Symposium proceedings. ICBP Technical Publication No. 3, XVIII ICBP World Conference, Cambridhe, England."
94990600,22728583,Aerodramus bartschi,Mariana Swiftlet,"Aerodramus bartschi ssp. Bartschi, Collocalia bartschi",Rattus rattus,Endangered,A2e+3e+4e,"Pesticides, brown tree snake",0,0,Yes,66,Rattus rattus,,
180529449,22724209,Agelaius xanthomus,Yellow-shouldered Blackbird,,Rattus rattus,Endangered,"B2ab(iii,v)",Unknown,0,0,No,276,Rattus rattus,,
119206636,62759683,Alectroenas payandeei,Rodrigues Blue-pigeon,,Rattus rattus,Extinct,,Rats,1,1,Yes,104,Rattus rattus,,
154065622,22685448,Alexandrinus eques,Echo Parakeet,"Psittacula echo, Psittacula eques",Rattus rattus,Vulnerable,D1,Habitat loss,0,0,No,220,Rattus rattus,,
131461308,22715170,Amaurocichla bocagii,Sao Tome Short-tail,,Rattus rattus,Vulnerable,D1,Unknown,0,0,No,145,Rattus rattus,,
95043197,22732147,Amaurornis magnirostris,Talaud Bush-hen,,Rattus argentiventer (native),Vulnerable,C2a(ii),Habitat loss,0,0,Yes,74,Rattus argentiventer (native),,
180748265,22686231,Amazona agilis,Black-billed Amazon,,"Rattus rattus, Rattus norvegicus",Endangered,A3cde+4acde,Unknown,0,0,No,278,Rattus rattus,,"Waugh, C.A., Lindo, J.F., Foronda, P., Angeles-Santana, M., Lorenzo-Morales, J. and Robinson, R.D., 2006. Population distribution and zoonotic potential of gastrointestinal helminths of wild rats Rattus rattus and R. norvegicus from Jamaica. The Journal of Parasitology, 92(5), pp.1014-1018."
180748265,22686231,Amazona agilis,Black-billed Amazon,,"Rattus rattus, Rattus norvegicus",Endangered,A3cde+4acde,Unknown,0,0,No,278,Rattus norvegicus,,"Waugh, C.A., Lindo, J.F., Foronda, P., Angeles-Santana, M., Lorenzo-Morales, J. and Robinson, R.D., 2006. Population distribution and zoonotic potential of gastrointestinal helminths of wild rats Rattus rattus and R. norvegicus from Jamaica. The Journal of Parasitology, 92(5), pp.1014-1018."
179193185,22686209,Amazona collaria,Yellow-billed Amazon,,"Rattus rattus, Rattus norvegicus",Vulnerable,"B1ab(i,ii,iii,iv,v)","Rats, mongoose, habitat loss, human hunting",1,0,No,263,Rattus rattus,,"Waugh, C.A., Lindo, J.F., Foronda, P., Angeles-Santana, M., Lorenzo-Morales, J. and Robinson, R.D., 2006. Population distribution and zoonotic potential of gastrointestinal helminths of wild rats Rattus rattus and R. norvegicus from Jamaica. The Journal of Parasitology, 92(5), pp.1014-1018."
179193185,22686209,Amazona collaria,Yellow-billed Amazon,,"Rattus rattus, Rattus norvegicus",Vulnerable,"B1ab(i,ii,iii,iv,v)","Rats, mongoose, habitat loss, human hunting",1,0,No,263,Rattus norvegicus,,"Waugh, C.A., Lindo, J.F., Foronda, P., Angeles-Santana, M., Lorenzo-Morales, J. and Robinson, R.D., 2006. Population distribution and zoonotic potential of gastrointestinal helminths of wild rats Rattus rattus and R. norvegicus from Jamaica. The Journal of Parasitology, 92(5), pp.1014-1018."
179276011,22686239,Amazona vittata,Puerto Rican Amazon,,Rattus rattus,Critically Endangered,D,"Habitat loss, weather extreme",0,0,Yes,265,Rattus rattus,,
211092297,22703783,Amytornis woodwardi,White-throated Grasswren,,Rattus rattus,Endangered,C2a(i),Fire,0,0,No,322,Rattus rattus,,
92854679,22680306,Anas eatoni,Southern Pintail,,Rattus norvegicus,Vulnerable,A3e,"Rats, cats",1,0,No,2,Rattus norvegicus,,
130697270,22680203,Anas laysanensis,Laysan Duck,,"Rattus rattus, Rattus norvegicus, Rattus exulans",Critically Endangered,B1ac(iv),"Rabbits, disease, weather extreme",0,0,Yes,134,Rattus rattus,,"Atkinson IAE. 1985. The spread of commensal species of Rattus to oceanic islands and their effects on island avifaunas. Pages 35-81 in Moors PJ, editor. Conservation of Island Birds. Case Studies for the Management of Threatened Island Species. Symposium proceedings. ICBP Technical Publication No. 3, XVIII ICBP World Conference, Cambridhe, England."
130697270,22680203,Anas laysanensis,Laysan Duck,,"Rattus rattus, Rattus norvegicus, Rattus exulans",Critically Endangered,B1ac(iv),"Rabbits, disease, weather extreme",0,0,Yes,134,Rattus norvegicus,,"Atkinson IAE. 1985. The spread of commensal species of Rattus to oceanic islands and their effects on island avifaunas. Pages 35-81 in Moors PJ, editor. Conservation of Island Birds. Case Studies for the Management of Threatened Island Species. Symposium proceedings. ICBP Technical Publication No. 3, XVIII ICBP World Conference, Cambridhe, England."
130697270,22680203,Anas laysanensis,Laysan Duck,,"Rattus rattus, Rattus norvegicus, Rattus exulans",Critically Endangered,B1ac(iv),"Rabbits, disease, weather extreme",0,0,Yes,134,Rattus exulans,,"Atkinson IAE. 1985. The spread of commensal species of Rattus to oceanic islands and their effects on island avifaunas. Pages 35-81 in Moors PJ, editor. Conservation of Island Birds. Case Studies for the Management of Threatened Island Species. Symposium proceedings. ICBP Technical Publication No. 3, XVIII ICBP World Conference, Cambridhe, England."
196314602,22680225,Anas melleri,Meller's Duck,,"Rattus rattus, Rattus norvegicus",Endangered,C2a(ii),Human hunting,0,0,No,308,Rattus rattus,,"Goodman, S.M., 1995. Rattus on Madagascar and the dilemma of protecting the endemic rodent fauna. Conservation biology, 9(2), pp.450-453; Dammhahn, M., Randriamoria, T.M. and Goodman, S.M., 2017. Broad and flexible stable isotope niches in invasive non-native Rattus spp. in anthropogenic and natural habitats of central eastern Madagascar. BMC ecology, 17, pp.1-13."
196314602,22680225,Anas melleri,Meller's Duck,,"Rattus rattus, Rattus norvegicus",Endangered,C2a(ii),Human hunting,0,0,No,308,Rattus norvegicus,,"Goodman, S.M., 1995. Rattus on Madagascar and the dilemma of protecting the endemic rodent fauna. Conservation biology, 9(2), pp.450-453; Dammhahn, M., Randriamoria, T.M. and Goodman, S.M., 2017. Broad and flexible stable isotope niches in invasive non-native Rattus spp. in anthropogenic and natural habitats of central eastern Madagascar. BMC ecology, 17, pp.1-13."
171601774,22724580,Anas nesiotis,Campbell Teal,,Rattus norvegicus,Vulnerable,D2,Rats,1,1,Yes,235,Rattus norvegicus,,
112386802,22680199,Anas wyvilliana,Hawaiian Duck,,"Rattus rattus, Rattus norvegicus, Rattus exulans",Endangered,"B1ab(ii,iii,iv,v)","Habitat loss, hybridization",0,0,Yes,85,Rattus rattus,,"Atkinson IAE. 1985. The spread of commensal species of Rattus to oceanic islands and their effects on island avifaunas. Pages 35-81 in Moors PJ, editor. Conservation of Island Birds. Case Studies for the Management of Threatened Island Species. Symposium proceedings. ICBP Technical Publication No. 3, XVIII ICBP World Conference, Cambridhe, England."
112386802,22680199,Anas wyvilliana,Hawaiian Duck,,"Rattus rattus, Rattus norvegicus, Rattus exulans",Endangered,"B1ab(ii,iii,iv,v)","Habitat loss, hybridization",0,0,Yes,85,Rattus norvegicus,,"Atkinson IAE. 1985. The spread of commensal species of Rattus to oceanic islands and their effects on island avifaunas. Pages 35-81 in Moors PJ, editor. Conservation of Island Birds. Case Studies for the Management of Threatened Island Species. Symposium proceedings. ICBP Technical Publication No. 3, XVIII ICBP World Conference, Cambridhe, England."
112386802,22680199,Anas wyvilliana,Hawaiian Duck,,"Rattus rattus, Rattus norvegicus, Rattus exulans",Endangered,"B1ab(ii,iii,iv,v)","Habitat loss, hybridization",0,0,Yes,85,Rattus exulans,,"Atkinson IAE. 1985. The spread of commensal species of Rattus to oceanic islands and their effects on island avifaunas. Pages 35-81 in Moors PJ, editor. Conservation of Island Birds. Case Studies for the Management of Threatened Island Species. Symposium proceedings. ICBP Technical Publication No. 3, XVIII ICBP World Conference, Cambridhe, England."
94997726,22728814,Anthornis melanocephala,Chatham Islands Bellbird,,"Rattus rattus, Rattus norvegicus, Rattus exulans",Extinct,,Habitat loss,0,0,No,70,Rattus rattus,,"Atkinson IAE. 1985. The spread of commensal species of Rattus to oceanic islands and their effects on island avifaunas. Pages 35-81 in Moors PJ, editor. Conservation of Island Birds. Case Studies for the Management of Threatened Island Species. Symposium proceedings. ICBP Technical Publication No. 3, XVIII ICBP World Conference, Cambridhe, England."
94997726,22728814,Anthornis melanocephala,Chatham Islands Bellbird,,"Rattus rattus, Rattus norvegicus, Rattus exulans",Extinct,,Habitat loss,0,0,No,70,Rattus norvegicus,,"Atkinson IAE. 1985. The spread of commensal species of Rattus to oceanic islands and their effects on island avifaunas. Pages 35-81 in Moors PJ, editor. Conservation of Island Birds. Case Studies for the Management of Threatened Island Species. Symposium proceedings. ICBP Technical Publication No. 3, XVIII ICBP World Conference, Cambridhe, England."
94997726,22728814,Anthornis melanocephala,Chatham Islands Bellbird,,"Rattus rattus, Rattus norvegicus, Rattus exulans",Extinct,,Habitat loss,0,0,No,70,Rattus exulans,,"Atkinson IAE. 1985. The spread of commensal species of Rattus to oceanic islands and their effects on island avifaunas. Pages 35-81 in Moors PJ, editor. Conservation of Island Birds. Case Studies for the Management of Threatened Island Species. Symposium proceedings. ICBP Technical Publication No. 3, XVIII ICBP World Conference, Cambridhe, England."
93953867,22704125,Apalopteron familiare,Bonin White-eye,Apalopteron familiare,"Rattus rattus, Rattus norvegicus",Near Threatened,D2,Habitat loss,0,0,Yes,26,Rattus rattus,,
93953867,22704125,Apalopteron familiare,Bonin White-eye,Apalopteron familiare,"Rattus rattus, Rattus norvegicus",Near Threatened,D2,Habitat loss,0,0,Yes,26,Rattus norvegicus,,
125419923,22702156,Aphrastura masafuerae,Masafuera Rayadito,Aphrastura masafucrae,"Rattus, Mus musculus",Critically Endangered,B1ab(iii),Habitat loss,0,0,No,116,Rattus,,
