Bird_scientific_name,redlistCategory,Migratory_status,Single_island_endemic,Evidence,Eradication_ID,Eradication_status,Island_Name,Archipelago,Region,Country,Longitude,Latitude,Rodent_attributed_final
Cinclodes antarcticus,Near Threatened,Not a Migrant,no,Population study with all qualities in support,1274,Successful (Reinvaded),Outer North West,Falkland Islands (North West Island Group),Atlantic Ocean - South,Falkland Islands (Malvinas),-59.21201224,-51.58782479,Rattus norvegicus
Eudyptes chrysolophus,Vulnerable,Full migrant,no,No studies found,47,Successful,Outer North West,Falkland Islands (North West Island Group),Atlantic Ocean - South,Falkland Islands (Malvinas),-59.21201224,-51.58782479,Rattus norvegicus
Eudyptes chrysolophus,Vulnerable,Full migrant,no,No studies found,52,Successful (Reinvaded),Outer North West,Falkland Islands (North West Island Group),Atlantic Ocean - South,Falkland Islands (Malvinas),-59.21201224,-51.58782479,Rattus norvegicus
Eudyptes chrysolophus,Vulnerable,Full migrant,no,No studies found,1274,Successful (Reinvaded),Outer North West,Falkland Islands (North West Island Group),Atlantic Ocean - South,Falkland Islands (Malvinas),-59.21201224,-51.58782479,Rattus norvegicus
Ardenna grisea,Near Threatened,Full migrant,no,Population study without data in support,2280,Successful (Reinvaded),Outer Stuck Anchor Rock,Bay of Islands (Black Rocks),Pacific Ocean - South West,New Zealand,174.1130798,-35.21171792,Rattus norvegicus
Ardenna grisea,Near Threatened,Full migrant,no,Population study without data in support,1885,Successful,Pakatahi,Bay of Islands (Moturoa),Pacific Ocean - South West,New Zealand,174.2000723,-35.23115647,Rattus norvegicus
Ardenna grisea,Near Threatened,Full migrant,no,Population study without data in support,2694,Successful,Pakihi,Hauraki Gulf,Pacific Ocean - South West,New Zealand,175.1610352,-36.91027199,Rattus norvegicus
Hymenolaimus malacorhynchos,Endangered,Not a Migrant,no,All studies are not in support,1104,Successful,Patiti (Banded),Lake Rotomahana,Pacific Ocean - South West,New Zealand,176.4459231,-38.26767285,Rattus norvegicus
Himantopus novaezelandiae,Critically Endangered,Not a Migrant,no,No studies found,1104,Successful,Patiti (Banded),Lake Rotomahana,Pacific Ocean - South West,New Zealand,176.4459231,-38.26767285,Rattus norvegicus
Ardenna grisea,Near Threatened,Full migrant,no,Population study without data in support,1871,Successful (Reinvaded),Phil's Hat,Bay of Islands (Black Rocks),Pacific Ocean - South West,New Zealand,174.1062553,-35.20675354,Rattus norvegicus
Fratercula arctica,Vulnerable,Full migrant,no,Population study with data in support,255,Successful,Plate,Sept les Archipelago,Atlantic Ocean - North,France,-3.497948221,48.88291191,Rattus norvegicus
Ardenna grisea,Near Threatened,Full migrant,no,Population study without data in support,1861,Successful,Poroporo,Bay of Islands,Pacific Ocean - South West,New Zealand,174.224338,-35.22900794,Rattus norvegicus
Fratercula arctica,Vulnerable,Full migrant,no,Population study with data in support,228,Successful,Puffin,null,Atlantic Ocean - North,United Kingdom,-4.02681091,53.31864642,Rattus norvegicus
Ardenna grisea,Near Threatened,Full migrant,no,Population study without data in support,150,Failed,Rakino,Hauraki Gulf,Pacific Ocean - South West,New Zealand,174.9477689,-36.71849935,Rattus norvegicus
Ardenna grisea,Near Threatened,Full migrant,no,Population study without data in support,297,Successful,Rakino,Hauraki Gulf,Pacific Ocean - South West,New Zealand,174.9477689,-36.71849935,Rattus norvegicus
Ardenna grisea,Near Threatened,Full migrant,no,Population study without data in support,2410,Incomplete,Rakino,Hauraki Gulf,Pacific Ocean - South West,New Zealand,174.9477689,-36.71849935,Rattus norvegicus
Fratercula arctica,Vulnerable,Full migrant,no,Population study with data in support,236,Successful,Ramsey,Pembrokeshire,Atlantic Ocean - North,United Kingdom,-5.34022689,51.86630023,Rattus norvegicus
Ardenna grisea,Near Threatened,Full migrant,no,Population study without data in support,1886,Successful,Rangiatea,Bay of Islands (Moturoa),Pacific Ocean - South West,New Zealand,174.1797091,-35.21804184,Rattus norvegicus
Ardenna grisea,Near Threatened,Full migrant,no,Population study without data in support,1239,Successful,Rangitoto,Hauraki Gulf,Pacific Ocean - South West,New Zealand,174.863184,-36.78649262,Rattus norvegicus
Ardenna grisea,Near Threatened,Full migrant,no,Population study without data in support,1285,Successful,Raoul,Kermadec Islands,Pacific Ocean - South East,New Zealand,-177.9294217,-29.26572148,Rattus norvegicus
