Avonet_Species,Genus,Family,Order,Habitat,Primary.Lifestyle,Mass,Status,Source,scientificName,Bird_Type_Coarse,Volancy,IslandEndemic,Volancy_Source,Migratory_status,Extent_of_occurrence_km2,Generation_length_yrs,Neartic,Paleartic,Afrotropical,Neotropical,Indomalayan,Australasian,Oceanic,Breeding_Distribution,Number_islands_extant,Parasite,Mound,NestSite_ground,NestSite_tree,NestSite_nontree,NestSite_cliff_bank,NestSite_underground,NestSite_waterbody,NestSite_termite_ant,Bird_Type
Diomedea exulans,Diomedea,Diomedeidae,Procellariiformes,Marine,Aquatic,6961.29333333333,Extant,,Diomedea exulans,Seabirds,Volant,No,Sayol et al. 2020 Sci Adv,full migrant,128000000,23.3,0,0,1,1,0,1,1,,,0,0,1,0,0,0,0,0,0,Seabirds
Drepanis coccinea,Drepanis,Fringillidae,Passeriformes,Forest,Insessorial,18.21,Extant,,Drepanis coccinea,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,19800,4.9,0,0,0,0,0,1,1,,,0,0,0,1,0,0,0,0,0,Landbirds
Drepanis funerea,Drepanis,Fringillidae,Passeriformes,Forest,Insessorial,18.21,Extinct,Genus average,Drepanis funerea,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Dryolimnas augusti,Dryolimnas,Rallidae,Gruiformes,Forest,Terrestrial,182.386666666667,Extinct,Genus average,Dryolimnas augusti,Landbirds,Flightless,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Flightless Landbirds
Ducula aurorae,Ducula,Columbidae,Columbiformes,Forest,Insessorial,507.193333333333,Extant,,Ducula aurorae,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,28,6.6,0,0,0,0,0,1,1,Islands,1,,,,,,,,,,Landbirds
Ducula galeata,Ducula,Columbidae,Columbiformes,Forest,Insessorial,605,Extant,,Ducula galeata,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,90,6.6,0,0,0,0,0,1,1,Islands,2,0,0,0,1,0,0,0,0,0,Landbirds
Ducula pickeringii,Ducula,Columbidae,Columbiformes,Forest,Insessorial,377,Extant,,Ducula pickeringii,Landbirds,Volant,No,Sayol et al. 2020 Sci Adv,nomadic,595000,6.6,0,0,0,0,1,0,1,,,,,,,,,,,,Landbirds
Dysmorodrepanis munroi,Dysmorodrepanis,Fringillidae,Passeriformes,Forest,Terrestrial,,Extinct,Wikipedia,Dysmorodrepanis munroi,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,,,,,,,,,,,,,,,,,,,,,,Landbirds
Elaenia ridleyana,Elaenia,Tyrannidae,Passeriformes,Woodland,Insessorial,33,Extant,,Elaenia ridleyana,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,38,4.6,0,0,0,1,0,0,0,,,0,0,0,1,0,0,0,0,0,Landbirds
Emberiza jankowskii,Emberiza,Emberizidae,Passeriformes,Grassland,Terrestrial,22.5,Extant,,Emberiza jankowskii,Landbirds,Volant,No,Sayol et al. 2020 Sci Adv,not a migrant,10600,3.6,0,1,0,0,0,0,0,,,0,0,1,0,1,0,0,0,0,Landbirds
Emberiza socotrana,Emberiza,Emberizidae,Passeriformes,Shrubland,Terrestrial,14.4133333333333,Extant,,Emberiza socotrana,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,1400,3.6,0,0,1,0,0,0,0,,,,,,,,,,,,Landbirds
Eudyptes chrysolophus,Eudyptes,Spheniscidae,Sphenisciformes,Marine,Aquatic,4485.08666666667,Extant,,Eudyptes chrysolophus,Seabirds,Flightless,No,Sayol et al. 2020 Sci Adv,full migrant,18700000,11.4,0,0,1,1,0,0,1,,,0,0,1,0,0,0,0,0,0,Flightless Seabirds
Eudyptes moseleyi,Eudyptes,Spheniscidae,Sphenisciformes,Marine,Aquatic,2327.86666666667,Extant,,Eudyptes moseleyi,Seabirds,Flightless,Yes,Sayol et al. 2020 Sci Adv,full migrant,1840000,9,0,0,1,0,0,0,0,Islands,7,0,0,1,0,0,0,0,0,0,Flightless Seabirds
Eudyptes pachyrhynchus,Eudyptes,Spheniscidae,Sphenisciformes,Marine,Aquatic,3904.88666666667,Extant,,Eudyptes pachyrhynchus,Seabirds,Flightless,No,Sayol et al. 2020 Sci Adv,full migrant,81800,9.6,0,0,0,0,0,1,1,,,0,0,1,0,0,1,0,0,0,Flightless Seabirds
Eunymphicus cornutus,Eunymphicus,Psittacidae; Psittaculidae,Psittaciformes,Forest,Insessorial,130,Extant,,Eunymphicus cornutus,Landbirds,Volant,Yes,Sayol et al. 2020 Sci Adv,not a migrant,11600,6.6,0,0,0,0,0,1,1,,,0,0,1,1,0,0,0,0,0,Landbirds
