scientificName,Common_name,Original_rodent_attributed_IUCN,Rodent_attribution_source,Reported_study_rodent,Study_notes,Article_secondary_same_data,redlistCategory,Synonyms_or_previous_lump,Rodent_attributed_final,Study_rodent_final,Rodent_primary,Rodent_only_primary,Article,Study_ID,Evidence_category,Evidence_effect,Evidence_method,Predation_type,Hypothesis_supported,Percent_nests_or_individuals_predated,Predator_and_prey_population_data,Experiment_control_site_or_spatial_variation,Sample_size_greater_than_1,Note_experiment_sample_size,Experiment_confounding_variables_included,Experiment_BACI,Study_location,Latitude,Longitude,Order,Mass,Bird_Type_Coarse,Nest_Site_Cat
Calonectris leucomelas,Streaked Shearwater,"Rattus rattus, Rattus norvegicus",Rodent attribution from IUCN.,Rattus,"""""""""In 1999, 31 out of 54 burrows with eggs or chicks failed breeding and 83.9% of failures were caused by Norway Rat predation (Table 2).""""""""","",Near Threatened,"",Rattus norvegicus,Rattus norvegicus,1,0,"Lee, K.G. and Yoo, J.C., 2002. Breeding population of Streaked Shearwaters (Calonectris leucomelas) and the effect of Norway Rat (Rattus norvegicus) predation on Sasudo Island. Journal of the Yamashina Institute for Ornithology, 33(2), pp.142-147.",121,Predation,Predation,Predation,"Eggs, chicks",1,48,0,,,"",,,Sasudo Island,33.3846,126.5535,Procellariiformes,579.993333333333,Seabirds,Cliff-face
Calonectris leucomelas,Streaked Shearwater,"Rattus rattus, Rattus norvegicus",Rodent attribution from IUCN.,Rattus,"""""""""Among the 22 chicks lost, 12 (54.5%) were presumed to have been killed by feral cats or rats, judging from the bite marks on the carcasses that were indicative of killing rather than scavenging.""""""""","",Near Threatened,"",Rattus norvegicus,Rattus norvegicus,1,0,"Oka, N., Suginome, H., Jida, N. and Maruyama, N., 2002. Chick growth and fledgling performance of Streaked Shearwaters Calonectris leucomelas on Mikura Island for two breeding seasons. Journal of the Yamashina Institute for Ornithology, 34(1), pp.39-59.",122,Predation,Predation,Predation,"Eggs, chicks",1,,0,,,"",,,Mikura Island,33.8751,139.6044,Procellariiformes,579.993333333333,Seabirds,Cliff-face
Calonectris leucomelas,Streaked Shearwater,"Rattus rattus, Rattus norvegicus",Rodent attribution from IUCN.,Rattus,"""""""""the connection to Ulleung Island has led to the arrival of Black Rattus rattus and Brown Rats R. norvegicus, and in September 2014, during a reconnaissance of the island, we found the carcass of an adult Streaked Shearwater in a forested area—probably the result of rat predation""""""""... """"""""Non-native Brown Rats Rattus norvegicus are present and are known to reduce Streaked Shearwater breeding success (Nam et al. 2014)."""""""" Reference not in English","",Near Threatened,"",Rattus rattus,Rattus rattus,1,0,"Hart, K.A., Choi, C.Y., Bond, A.L., Humphries, G.R., Yoo, J.C. and Nam, K.B., 2015. Streaked Shearwaters Calonectris leucomelas of the Korean Peninsula: distribution, status and potential threats. Forktail, 31, pp.55-63.",120,Predation,Predation,Predation,Adults,1,,0,,,"",,,Ulleung Island,37.5064,130.8572,Procellariiformes,579.993333333333,Seabirds,Cliff-face
Calonectris leucomelas,Streaked Shearwater,"Rattus rattus, Rattus norvegicus",Rodent attribution from IUCN.,Rattus,"""""""""In 1999, 31 out of 54 burrows with eggs or chicks failed breeding and 83.9% of failures were caused by Norway Rat predation (Table 2).""""""""","",Near Threatened,"",Rattus rattus,Rattus rattus,1,0,"Lee, K.G. and Yoo, J.C., 2002. Breeding population of Streaked Shearwaters (Calonectris leucomelas) and the effect of Norway Rat (Rattus norvegicus) predation on Sasudo Island. Journal of the Yamashina Institute for Ornithology, 33(2), pp.142-147.",121,Predation,Predation,Predation,"Eggs, chicks",1,48,0,,,"",,,Sasudo Island,33.3846,126.5535,Procellariiformes,579.993333333333,Seabirds,Cliff-face
Calonectris leucomelas,Streaked Shearwater,"Rattus rattus, Rattus norvegicus",Rodent attribution from IUCN.,Rattus,"""""""""Among the 22 chicks lost, 12 (54.5%) were presumed to have been killed by feral cats or rats, judging from the bite marks on the carcasses that were indicative of killing rather than scavenging.""""""""","",Near Threatened,"",Rattus rattus,Rattus rattus,1,0,"Oka, N., Suginome, H., Jida, N. and Maruyama, N., 2002. Chick growth and fledgling performance of Streaked Shearwaters Calonectris leucomelas on Mikura Island for two breeding seasons. Journal of the Yamashina Institute for Ornithology, 34(1), pp.39-59.",122,Predation,Predation,Predation,"Eggs, chicks",1,,0,,,"",,,Mikura Island,33.8751,139.6044,Procellariiformes,579.993333333333,Seabirds,Cliff-face
Calyptophilus tertius,Western Chat-tanager,"Rattus rattus, Rattus norvegicus",Rodent attribution from IUCN.,,,,Vulnerable,"",Rattus norvegicus,,1,0,,,,,,,,,,,,,,,,,,Passeriformes,49.2,Landbirds,Vegetation
Calyptophilus tertius,Western Chat-tanager,"Rattus rattus, Rattus norvegicus",Rodent attribution from IUCN.,,,,Vulnerable,"",Rattus rattus,,1,0,,,,,,,,,,,,,,,,,,Passeriformes,49.2,Landbirds,Vegetation
Carpodacus ferreorostris,Bonin Grosbeak,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Extinct,Chaunoproctus ferreorostris,Rattus norvegicus,,1,0,,,,,,,,,,,,,,,,,,Passeriformes,28.6080281690141,Landbirds,
Carpodacus ferreorostris,Bonin Grosbeak,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Extinct,Chaunoproctus ferreorostris,Rattus rattus,,1,0,,,,,,,,,,,,,,,,,,Passeriformes,28.6080281690141,Landbirds,
Catharus bicknelli,Bicknell's Thrush,Rattus rattus,Rodent attribution from IUCN.,"Rattus rattus, Rattus norvegicus","""""""""Depredation by introduced rats was the only cause of mortality among 53 radio-tagged individuals monitored between January and March over multiple years; five (9%) marked individuals were depredated.""""""""","",Vulnerable,"",Rattus rattus,Rattus rattus,0,0,"Townsend, J. M., Rimmer, C. C., Brocca, J., McFarland, K. P. and Townsend, A. K. (2009) Predation of a wintering migratory songbird by introduced rats: can nocturnal roosting behavior serve as predator avoidance? Condor 111: 565–569.",215,Predation,Predation,Predation,Adults,1,9,0,,,"",,,"Pueblo Viejo and Loma La Canela, Dominican Republic",18.401,-70.7659,Passeriformes,27.7933333333333,Landbirds,Vegetation
Certhidea olivacea,Green Warbler-finch,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Vulnerable,Certhidea fusca,Rattus norvegicus,,0,0,,,,,,,,,,,,,,,,,,Passeriformes,9.5,Landbirds,
Certhidea olivacea,Green Warbler-finch,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Vulnerable,Certhidea fusca,Rattus rattus,,0,0,,,,,,,,,,,,,,,,,,Passeriformes,9.5,Landbirds,
Charadrius obscurus,Southern Red-breasted Plover,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Critically Endangered,"",Rattus exulans,,0,0,,,,,,,,,,,,,,,,,,Charadriiformes,146,Landbirds,Cliff-face
Charadrius obscurus,Southern Red-breasted Plover,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,Rattus norvegicus,Tables 2-4. No statistical analysis provided,"",Critically Endangered,"",Rattus norvegicus,Rattus norvegicus,0,0,"Wills, D.E., 2003. Impact of management on the breeding success of the northern New Zealand Dotterel (Charadrius obscurus aquilonius) on Matakana Island, Bay of Plenty. Notornis, 50, pp.1-10.",57,Population,Reproductive success,Temporal,"",0,,1,0,0,1,1,0,Matakana Island,-37.5832,176.0428,Charadriiformes,146,Landbirds,Cliff-face
Charadrius obscurus,Southern Red-breasted Plover,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,Rattus norvegicus,"Tables 5 """"""""cause of breeding failure"""""""" includes Norway rats","",Critically Endangered,"",Rattus norvegicus,Rattus norvegicus,0,0,"Wills, D.E., 2003. Impact of management on the breeding success of the northern New Zealand Dotterel (Charadrius obscurus aquilonius) on Matakana Island, Bay of Plenty. Notornis, 50, pp.1-10.",58,Predation,Predation,Predation,"Eggs, chicks",1,2.9,,,,"",,,Matakana Island,-37.5832,176.0428,Charadriiformes,146,Landbirds,Cliff-face
Charadrius obscurus,Southern Red-breasted Plover,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,Rattus rattus,"""""""""Why predation is having such an impact now is not clear. Cats (and rats) have probably been on Stewart Island for 150 years or more; if they had been killing dotterels at the present rate for long, the population should have disappeared many years ago.""""""""","",Critically Endangered,"",Rattus rattus,Rattus rattus,0,0,"Dowding, J.E. and Murphy, E.C., 1993. Decline of the Stewart Island population of the New Zealand dotterel. Notornis, 40(1), p.1ò14.",56,Population,Abundance,Timing,"",0,,0,,,"",,,Stewart Island,-47.0103,167.8272,Charadriiformes,146,Landbirds,Cliff-face
Charadrius sanctaehelenae,Saint Helena Plover,"Rattus norvegicus, Rattus",IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,"Rattus rattus, Rattus norvegicus",Figure 1,"",Vulnerable,"",Rattus norvegicus,Rattus norvegicus,0,0,"Burns, F., McCulloch, N., Székely, T. and Bolton, M., 2013. The impact of introduced predators on an island endemic, the St Helena Plover, Charadrius sanctaehelenae. Bird Conservation International, 23(2), pp.125-135.",206,Predation,Predation,Predation,Eggs,1,10.3,0,,,"",,,Saint Helena Island,-27.3852,153.2345,Charadriiformes,48.7,Landbirds,Ground
Charadrius sanctaehelenae,Saint Helena Plover,"Rattus norvegicus, Rattus",IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,"Rattus rattus, Rattus norvegicus","Figure 1, 2","",Vulnerable,"",Rattus norvegicus,Rattus norvegicus,0,0,"Oppel, S., Burns, F., Vickery, J., George, K., Ellick, G., Leo, D. and Hillman, J.C., 2014. Habitat‐specific effectiveness of feral cat control for the conservation of an endemic ground‐nesting bird species. Journal of Applied Ecology, 51(5), pp.1246-1254.",207,Population,Reproductive success,Spatiotemporal,"",0,,1,,,"",,,Saint Helena Island,-27.3852,153.2345,Charadriiformes,48.7,Landbirds,Ground
Charadrius sanctaehelenae,Saint Helena Plover,"Rattus norvegicus, Rattus",IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,"Rattus rattus, Rattus norvegicus",Figure 1,"",Vulnerable,"",Rattus rattus,Rattus rattus,0,0,"Burns, F., McCulloch, N., Székely, T. and Bolton, M., 2013. The impact of introduced predators on an island endemic, the St Helena Plover, Charadrius sanctaehelenae. Bird Conservation International, 23(2), pp.125-135.",206,Predation,Predation,Predation,Eggs,1,10.3,0,,,"",,,Saint Helena Island,-27.3852,153.2345,Charadriiformes,48.7,Landbirds,Ground
Charadrius sanctaehelenae,Saint Helena Plover,"Rattus norvegicus, Rattus",IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,"Rattus rattus, Rattus norvegicus","Figure 1, 2","",Vulnerable,"",Rattus rattus,Rattus rattus,0,0,"Oppel, S., Burns, F., Vickery, J., George, K., Ellick, G., Leo, D. and Hillman, J.C., 2014. Habitat‐specific effectiveness of feral cat control for the conservation of an endemic ground‐nesting bird species. Journal of Applied Ecology, 51(5), pp.1246-1254.",207,Population,Reproductive success,Spatiotemporal,"",0,,1,,,"",,,Saint Helena Island,-27.3852,153.2345,Charadriiformes,48.7,Landbirds,Ground
Charmosyna amabilis,Red-throated Lorikeet,Rattus rattus,Rodent attribution from IUCN.,,,,Critically Endangered,"",Rattus rattus,,1,0,,,,,,,,,,,,,,,,,,Psittaciformes,8.54,Landbirds,
Charmosyna diadema,New Caledonian Lorikeet,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Critically Endangered,"",Rattus exulans,,0,0,,,,,,,,,,,,,,,,,,Psittaciformes,36.98,Landbirds,Ground
Charmosyna diadema,New Caledonian Lorikeet,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Critically Endangered,"",Rattus norvegicus,,0,0,,,,,,,,,,,,,,,,,,Psittaciformes,36.98,Landbirds,Ground
Charmosyna diadema,New Caledonian Lorikeet,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Critically Endangered,"",Rattus rattus,,0,0,,,,,,,,,,,,,,,,,,Psittaciformes,36.98,Landbirds,Ground
Chasiempis ibidis,Oahu Elepaio,Rattus rattus,Rodent attribution from IUCN.,Rattus rattus,"""""""""We assessed the response of Hawaii Elepaio to reduced [rat] abundance using a before-after-control-impact (BACI) study design to compare nest success and nest daily survival rates"""""""" """"""""The daily survival rate (DSR) of nests (n = 191) was greater on treated plots after rodenticide application (mean ± SE = 0.980 ± 0.004 treatment; 0.964 ± 0.004 nontreatment), mod- eled nest success increased from 29% to 50%, and apparent nest success (number of successful nests per total nests) increased from 37% to 52%.""""""""","",Endangered,Chasiempis sandwichensis,Rattus rattus,Rattus rattus,1,0,"Banko, P.C., Jaenecke, K.A., Peck, R.W. and Brinck, K.W., 2019. Increased nesting success of Hawaii Elepaio in response to the removal of invasive black rats. The Condor, 121(2), p.duz003.",33,Population,Reproductive success,Spatiotemporal,"",1,,1,1,1,2 pairs of sites,1,1,O’ahu,21.4389,-158.0001,Passeriformes,13.1,Landbirds,Vegetation
Chasiempis ibidis,Oahu Elepaio,Rattus rattus,Rodent attribution from IUCN.,Rattus rattus,"""""""""We considered the cause of nest failure to be rat predation at 46 (24%) of 191 nests, based on evidence from in-person nest checks and surveillance cameras"""""""". Second REF: """"""""The most serious threat to the species is predation on nests by alien rats, which take eggs, chicks, and even incubating females""""""""","VanderWerf, E. A. 2012. Hawaiian Bird Conservation Action Plan: NWHI Passerines. Honolulu, Hawaii http://large.stanford.edu/courses/2017/ph241/lewis1/docs/HBCAP_complete1.pdf",Endangered,Chasiempis sandwichensis,Rattus rattus,Rattus rattus,1,0,"Banko, P.C., Jaenecke, K.A., Peck, R.W. and Brinck, K.W., 2019. Increased nesting success of Hawaii Elepaio in response to the removal of invasive black rats. The Condor, 121(2), p.duz003.",34,Predation,Predation,Predation,"Eggs, chicks, adults",1,24,0,,,"",,,O’ahu,21.4389,-158.0001,Passeriformes,13.1,Landbirds,Vegetation
Chasiempis ibidis,Oahu Elepaio,Rattus rattus,Rodent attribution from IUCN.,Rattus rattus,"""""""""Introduced predators including feral cats, Polynesian rat Rattus exulans and possibly black rat R. rattus were present on the island at the time of the species's demise, and may have contributed to declines""""""""","Vanderwerf, E.A. and Smith, D.G., 2002. Effects of alien rodent control on demography of the O'ahu'Elepaio, an endangered Hawaiian forest bird. Pacific Conservation Biology, 8(2), pp.73-81.",Endangered,Chasiempis sandwichensis,Rattus rattus,Rattus rattus,1,0,"Vanderwerf, E.A., 2009. Importance of nest predation by alien rodents and avian poxvirus in conservation of Oahu Elepaio. The Journal of Wildlife Management, 73(5), pp.737-746.",35,Population,Abundance,Timing,"",1,,0,,,"",,,O’ahu,21.4389,-158.0001,Passeriformes,13.1,Landbirds,Vegetation
Chasiempis ibidis,Oahu Elepaio,Rattus rattus,Rodent attribution from IUCN.,Rattus rattus,"""""""""Rat control resulted in overall improvements in elepaio fecundity (50%), female survival (10%), and population growth (18%), but efficacy varied among sites, and performance was related to effort. Elepaio continued to decline at some sites despite rat control.""""""""","",Endangered,Chasiempis sandwichensis,Rattus rattus,Rattus rattus,1,0,"VanderWerf, E.A., Mosher, S.M., Burt, M.D., Taylor, P.E. and Sailer, D., 2011. Variable efficacy of rat control in conserving O ‘ahu ‘Elepaio populations. In Proceedings of the Island Invasives: Eradication and Management Conference.",37,Population,Reproductive success,Spatiotemporal,"",1,,1,1,1,7 sites,0,1,O’ahu,21.4389,-158.0001,Passeriformes,13.1,Landbirds,Vegetation
Chasiempis sclateri,Kauai Elepaio,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Vulnerable,Chasiempis sandwichensis,Rattus exulans,,0,0,,,,,,,,,,,,,,,,,,Passeriformes,12.9,Landbirds,Vegetation
Chasiempis sclateri,Kauai Elepaio,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Vulnerable,Chasiempis sandwichensis,Rattus norvegicus,,0,0,,,,,,,,,,,,,,,,,,Passeriformes,12.9,Landbirds,Vegetation
Chasiempis sclateri,Kauai Elepaio,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,Rattus rattus,"""""""""My results support the hypothesis that tree reproductive strategy may contribute to the variability in DSR, but I did not have evidence (e.g., pictures) that the non-native black rat (Rattus rattus) was the primary predator in this study.""""""""","",Vulnerable,Chasiempis sandwichensis,Rattus rattus,Rattus rattus,0,0,"Hammond, R.L., 2016. Daily survival rate of nests is lower in fruiting than non-fruiting tree species for a Hawaiian forest bird, the Kaua̒i ̒elepaio (Chasiempis sclateri). The Wilson Journal of Ornithology, 128(3), pp.584-592.",52,Predation,Predation,Predation,"",0,,0,,,"",,,Kauai,22.0964,-159.5261,Passeriformes,12.9,Landbirds,Vegetation
Chenonetta finschi,Finsch's Duck,Rattus exulans,Rodent attribution from IUCN.,,,,Extinct,"",Rattus exulans,,1,0,,,,,,,,,,,,,,,,,,Anseriformes,807.473333333333,Landbirds,
Chlidonias albostriatus,Black-fronted Tern,"Rattus rattus, Rattus norvegicus",Rodent attribution from IUCN.,Rattus norvegicus,"""""""""A total of 1,510 breeding attempts were followed""""""""…""""""""37.6% of nests preyed upon""""""""… Of predated nests (110 sample) 12.7% were black rats (0 Norway rats) Table 3","",Endangered,"Hydrochelidon albostriata, Sterna albostriata",Rattus norvegicus,Rattus norvegicus,1,0,"Bell, M., 2017. Population size, breeding success and predators of black-fronted tern (Chlidonias albostriatus) in the Upper Clarence River catchment, New Zealand. Notornis, 64(3), pp.154-161.",72,Predation,Predation,Predation,Eggs,0,0,0,,,"",,,Clarence River,-42.10389,172.71611,Charadriiformes,94.695,Landbirds,Ground
Chlidonias albostriatus,Black-fronted Tern,"Rattus rattus, Rattus norvegicus",Rodent attribution from IUCN.,Rattus norvegicus,"""""""""1022 nests…"""""""" rats not identified among predators","",Endangered,"Hydrochelidon albostriata, Sterna albostriata",Rattus norvegicus,Rattus norvegicus,1,0,"Keedwell, R.J., 2005. Breeding biology of Black-fronted Terns (Sterna albostriata) and the effects of predation. Emu-Austral Ornithology, 105(1), pp.39-47.",74,Predation,Predation,Predation,Unknown,0,0,0,,,"",,,Ohau River,-44.32888384,170.1786459,Charadriiformes,94.695,Landbirds,Ground
Chlidonias albostriatus,Black-fronted Tern,"Rattus rattus, Rattus norvegicus",Rodent attribution from IUCN.,Rattus norvegicus,"""""""""Norway Rats were not observed killing terns. However, on four occasions over two-thirds of the chicks and some juveniles in a colony dizappeared in less than a week, coinciding with the appearance of rat-eaten remains (Keedwell 2002). The remains of 36 terns were classified as possible rat predations based on the location of and evidence on the carcass, and the presence of Norway Rat faecal pellets.""""""""","",Endangered,"Hydrochelidon albostriata, Sterna albostriata",Rattus norvegicus,Rattus norvegicus,1,0,"Keedwell, R.J., Sanders, M.D., Alley, M. and Twentyman, C., 2002. Causes of mortality of black-fronted terns Sterna albostriata on the Ohau River, South Island, New Zealand. Pacific Conservation Biology, 8(3), pp.170-176.",75,Predation,Predation,Predation,"Chicks, adult",1,,0,,,"",,,Ohau River,-44.32888384,170.1786459,Charadriiformes,94.695,Landbirds,Ground
Chlidonias albostriatus,Black-fronted Tern,"Rattus rattus, Rattus norvegicus",Rodent attribution from IUCN.,Rattus rattus,"""""""""A total of 1,510 breeding attempts were followed""""""""…""""""""37.6% of nests preyed upon""""""""… Of predated nests (110 sample) 12.7% were black rats (0 Norway rats) Table 3","",Endangered,"Hydrochelidon albostriata, Sterna albostriata",Rattus rattus,Rattus rattus,1,0,"Bell, M., 2017. Population size, breeding success and predators of black-fronted tern (Chlidonias albostriatus) in the Upper Clarence River catchment, New Zealand. Notornis, 64(3), pp.154-161.",71,Predation,Predation,Predation,Eggs,1,4.78,0,,,"",,,Clarence River,-42.10389,172.71611,Charadriiformes,94.695,Landbirds,Ground
Chlidonias albostriatus,Black-fronted Tern,"Rattus rattus, Rattus norvegicus",Rodent attribution from IUCN.,Rattus rattus,"""""""""digital video surveillance of 85 nests...ship rats (Rattus rattus; 2/19)","",Endangered,"Hydrochelidon albostriata, Sterna albostriata",Rattus rattus,Rattus rattus,1,0,"Steffens, K.E., Sanders, M.D., Gleenson, D.M., Pullen, K.M. and Stowe, C.J., 2012. Identification of predators at black-fronted tern Chlidonias albostriatus nests, using mtDNA analysis and digital video recorders. New Zealand Journal of Ecology, pp.48-55.",73,Predation,Predation,Predation,Eggs,1,2.35,0,,,"",,,Wairau,-41.5653,173.5286,Charadriiformes,94.695,Landbirds,Ground
Chlorodrepanis stejnegeri,Kauai Amakihi,Rodentia,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Vulnerable,"Hemignathus kauaiensis, Viridonia stejnegeri ssp. Stejnegeri",Mus musculus,,0,0,,,,,,,,,,,,,,,,,,Passeriformes,16.62,Landbirds,Vegetation
Chlorodrepanis stejnegeri,Kauai Amakihi,Rodentia,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Vulnerable,"Hemignathus kauaiensis, Viridonia stejnegeri ssp. Stejnegeri",Rattus exulans,,0,0,,,,,,,,,,,,,,,,,,Passeriformes,16.62,Landbirds,Vegetation
Chlorodrepanis stejnegeri,Kauai Amakihi,Rodentia,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Vulnerable,"Hemignathus kauaiensis, Viridonia stejnegeri ssp. Stejnegeri",Rattus norvegicus,,0,0,,,,,,,,,,,,,,,,,,Passeriformes,16.62,Landbirds,Vegetation
Chlorodrepanis stejnegeri,Kauai Amakihi,Rodentia,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Vulnerable,"Hemignathus kauaiensis, Viridonia stejnegeri ssp. Stejnegeri",Rattus rattus,,0,0,,,,,,,,,,,,,,,,,,Passeriformes,16.62,Landbirds,Vegetation
Cinclodes antarcticus,Blackish Cinclodes,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,Rattus norvegicus,"Islands without rats have the most cinclodes, then islands where rats were eradicated and lastly islands with rats. Sample size of islands is high (35-67 per category) AND positive correlation between time since eradication and cinclodes abundance.","",Near Threatened,"",Rattus norvegicus,Rattus norvegicus,1,0,"Tabak, M.A., Poncet, S., Passfield, K., Goheen, J.R. and Martinez del Rio, C., 2016. The ghost of invasives past: rat eradication and the community composition and energy flow of island bird communities. Ecosphere, 7(8), p.e01442.",8,Population,Abundance,Spatiotemporal,"",1,,1,1,1,"35, 57, 67 islands",0,1,Falkland Islands,-51.7963,-59.5236,Passeriformes,63.2,Landbirds,Cliff-face
Cinclodes antarcticus,Blackish Cinclodes,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,Rattus norvegicus,Probability of occupancy positively associated with island size mostly where rats were absent or eradicated but weak relationship where rats were present. This pattern was not consistent with other passerines studied,"Tabak, M.A., Poncet, S., Passfield, K. and Martinez del Rio, C., 2014. Invasive species and land bird diversity on remote South Atlantic islands. Biological Invasions, 16, pp.341-352.",Near Threatened,"",Rattus norvegicus,Rattus norvegicus,1,0,"Tabak, M.A., Poncet, S., Passfield, K., Goheen, J.R. and Martinez del Rio, C., 2015. Rat eradication and the resistance and resilience of passerine bird assemblages in the Falkland Islands. Journal of Animal Ecology, 84(3), pp.755-764.",9,Population,Abundance,Spatial,"",1,,1,1,1,"37, 85, 108 islands",1,1,Falkland Islands,-51.7963,-59.5236,Passeriformes,63.2,Landbirds,Cliff-face
Cinclodes maculirostris,Black Cinclodes,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,Rattus,"""""""""The species is at risk from invasive predators such as cats Felis catus and rats Rattus spp., which has led to the species only being found where these do not occur (del Hoyo et al. 2020)""""""""","",Near Threatened,"",Rattus norvegicus,Rattus norvegicus,1,0,BirdLife International. 2021. Cinclodes maculirostris. The IUCN Red List of Threatened Species 2021: e.T103670944A192074027. https://dx.doi.org/10.2305/IUCN.UK.2021-3.RLTS.T103670944A192074027.en. Accessed on 10 February 2024.,230,Population,Abundance,Spatial,"",1,,0,,,"",,,"Brecknock Peninsula, Navarino Island, Cape Horn Archipelago, Staten Island",-55.0567,67.6166,Passeriformes,63.2,Landbirds,
Cincloramphus grosvenori,New Britain Thicketbird,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Vulnerable,Megalurulus grosvenori,Rattus praetor,,0,0,,,,,,,,,,,,,,,,,,Passeriformes,54,Landbirds,
Cincloramphus grosvenori,New Britain Thicketbird,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Vulnerable,Megalurulus grosvenori,Rattus rattus,,0,0,,,,,,,,,,,,,,,,,,Passeriformes,54,Landbirds,
Cincloramphus llaneae,Bougainville Thicketbird,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Near Threatened,"Cichlornis llaneae, Megalurulus llaneae",Rattus exulans,,0,0,,,,,,,,,,,,,,,,,,Passeriformes,25.5,Landbirds,
Cincloramphus llaneae,Bougainville Thicketbird,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Near Threatened,"Cichlornis llaneae, Megalurulus llaneae",Rattus rattus,,0,0,,,,,,,,,,,,,,,,,,Passeriformes,25.5,Landbirds,
Cincloramphus rufus,Long-legged Thicketbird,Rattus rattus,Rodent attribution from IUCN.,,,,Endangered,"Megalurulus rufus, Trichocichla rufa",Rattus rattus,,0,0,,,,,,,,,,,,,,,,,,Passeriformes,26,Landbirds,
Ciridops anna,Ula-ai-hawane,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Extinct,"",Rattus exulans,,0,0,,,,,,,,,,,,,,,,,,Passeriformes,,Landbirds,
Ciridops anna,Ula-ai-hawane,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Extinct,"",Rattus norvegicus,,0,0,,,,,,,,,,,,,,,,,,Passeriformes,,Landbirds,
Ciridops anna,Ula-ai-hawane,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,,,,Extinct,"",Rattus rattus,,0,0,,,,,,,,,,,,,,,,,,Passeriformes,,Landbirds,
Cleptornis marchei,Golden White-eye,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,Rattus,"""""""""Rats have been observed predating Golden White-eye nests on Saipan (Peiffer 2017).""""""""","",Endangered,"",Rattus exulans,Rattus exulans,0,0,BirdLife International. 2020. Cleptornis marchei (errata version published in 2022). The IUCN Red List of Threatened Species 2020: e.T22714282A216247839. Accessed on 17 February 2024.,248,Predation,Predation,Predation,"",1,,0,,,"",,,Saipan,15.185,145.7467,Passeriformes,20.2,Landbirds,Vegetation
Cleptornis marchei,Golden White-eye,Rattus,IUCN attribution was generic. Specific rodent was determined from literature review. See Table SX for references and notes.,Rattus,"""""""""Rats have been observed predating Golden White-eye nests on Saipan (Peiffer 2017).""""""""","",Endangered,"",Rattus norvegicus,Rattus norvegicus,0,0,BirdLife International. 2020. Cleptornis marchei (errata version published in 2022). The IUCN Red List of Threatened Species 2020: e.T22714282A216247839. Accessed on 17 February 2024.,248,Predation,Predation,Predation,"",1,,0,,,"",,,Saipan,15.185,145.7467,Passeriformes,20.2,Landbirds,Vegetation
Clytorhynchus sanctaecrucis,Nendo Shrikebill,Rattus rattus,Rodent attribution from IUCN.,,,,Endangered,"",Rattus rattus,,0,0,,,,,,,,,,,,,,,,,,Passeriformes,55.7133333333333,Landbirds,
