scientificName,Article,Article_secondary_same_data,Evidence_category,Evidence_effect,Evidence_method,Study_rodent_final,Exclude_row,Sample_size_greater_than_1,Predation_type,Sample_size_nests_monitored,Hypothesis_supported,Percent_nests_or_individuals_predated,Predator_and_prey_population_data,Experiment_control_site_or_spatial_variation,Note_experiment_sample_size,Experiment_confounding_variables_included,Experiment_BACI,Study_location,Latitude,Longitude,Study_notes,Study_ID,Reported_study_rodent,Study_rodent_notes,key
Aplonis fusca,BirdLife International. 2016. Aplonis fusca. The IUCN Red List of Threatened Species 2016: e.T22710511A94249210. https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22710511A94249210.en. Accessed on 10 November 2023.,"",Population,Abundance,Timing,Rattus rattus,,,"","",0,,0,,"",,,Norfolk Island,-29.0408,167.9547,"""""The last record was of the nominate subspecies on Norfolk Island in 1923"""" """"The reasons for the extinction of the Norfolk Island population are less clear cut because R. rattus did not reach the island until the 1940s.""""",16,Rattus rattus,,Aplonis fusca_Rattus rattus
Zosterops strenuus,BirdLife International. 2016. Zosterops strenuus. The IUCN Red List of Threatened Species 2016: e.T22714223A94406811. https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22714223A94406811.en. Accessed on 11 November 2023.,"",Population,Abundance,Timing,Rattus rattus,,,"","",1,,0,,"",,,Lord Howe Island,-31.5553,159.0821,"""""It was very common before 1918 (McAllan et al. 2004), with the last records coming from 1908 (Hull 1909), but it plummeted to extinction following the arrival of black rats Rattus rattus on the island (Hindwood 1940). It could not be found in 1928 (Sharland 1929).""""",17,Rattus rattus,,Zosterops strenuus_Rattus rattus
Foudia rubra,"Safford, R.J., 1997. Nesting success of the Mauritius Fody Foudia rubra in relation to its use of exotic trees as nest sites. Ibis, 139(3), pp.555-559.","Safford, R.J., 1997. The destruction of source and sink habitats in the decline of the Mauritius Fody, Foudia rubra, an island-endemic bird. Biodiversity & Conservation, 6, pp.513-527.",Predation,Predation,Predation,Rattus rattus,,,Unknown,"",1,,0,,"",,,Mauritius,-20.3484,57.5522,"""""Most nesting failure resulted from nest predation, apparently by exotic Black Rats Rattus rattus and Crab-eating Macaques""""",18,Rattus rattus,,Foudia rubra_Rattus rattus
Foudia flavicans,BirdLife International. 2016. Foudia flavicans. The IUCN Red List of Threatened Species 2016: e.T22719159A94614670. https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22719159A94614670.en. Accessed on 11 November 2023.,"",Population,Abundance,Timing,Rattus rattus,,,"","",0,,0,,"",,,Rodrigues,-19.7245,63.4272,"""""Black rat Rattus rattus is a predator of eggs and chicks, but F. flavicans has survived alongside it for hundreds of years.""""",19,Rattus rattus,,Foudia flavicans_Rattus rattus
Foudia flavicans,BirdLife International. 2016. Foudia flavicans. The IUCN Red List of Threatened Species 2016: e.T22719159A94614670. https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22719159A94614670.en. Accessed on 11 November 2023.,"",Predation,Predation,Predation,Rattus rattus,,,"Eggs, chicks","",1,,0,,"",,,Rodrigues,-19.7245,63.4272,"""""Black rat Rattus rattus is a predator of eggs and chicks, but F. flavicans has survived alongside it for hundreds of years.""""",20,Rattus rattus,,Foudia flavicans_Rattus rattus
Loxioides bailleui,"Banko, P.C., Oboyski, P.T., Slotterback, J.W., Dougill, S.J., Goltz, D.M., Johnson, L., Laut, M.E. and Murray, T.C., 2002. Availability of food resources, distribution of invasive species, and conservation of a Hawaiian bird along a gradient of elevation. Journal of Biogeography, 29(5‐6), pp.789-808.","Banko, P. C. and Farmer, C. 2014. Palila restoration research, 1996-2012. Hawai‘i Cooperative Studies Unit Technical Report HCSU-046. University of Hawai‘i at Hilo. Available at: http://www.uhh.hawaii.edu/hcsu/publications.php].",Population,Abundance,Temporal,Rattus rattus,,,"","",0,,0,,"",,,Mauna Kea Volcano,-19.4721,-155.5922,"""""Rattus is rare in Loxioides habitat""""",21,Rattus rattus,,Loxioides bailleui_Rattus rattus
Loxioides bailleui,"Banko, P. C. and Farmer, C. 2014. Palila restoration research, 1996-2012. Hawai‘i Cooperative Studies Unit Technical Report HCSU-046. University of Hawai‘i at Hilo. Available at: http://www.uhh.hawaii.edu/hcsu/publications.php].","VanderWerf, E. A. 2012. Hawaiian Bird Conservation Action Plan: NWHI Passerines. Honolulu, Hawaii http://large.stanford.edu/courses/2017/ph241/lewis1/docs/HBCAP_complete1.pdf",Predation,Predation,Predation,Rattus rattus,,,Unknown,"",1,,0,,"",,,Mauna Kea Volcano,-19.4721,-155.5922,"""""Rats (Rattus rattus), which are more abundant where naio trees are co-dominant with māmane (Amarasekare 1994), also destroy some palila nests (Banko et al. 2002a).""""",22,Rattus rattus,,Loxioides bailleui_Rattus rattus
Loxioides bailleui,"Amarasekare, P., 1994. Ecology of introduced small mammals on western Mauna Kea, Hawaii. Journal of Mammalogy, 75(1), pp.24-38.","",Population,Abundance,Spatial,Rattus rattus,,,"","",0,,0,,"",,,Mauna Kea Volcano,-19.4721,-155.5922,"""""distributions of rats and palila, as well as their microhabitat preferences, appear to be independent. Absence of palila in the lower elevations, where rats are most abundant, is likely a result of habitat destruction by heavy grazing rather than predation. Rats attain their lowest densities in areas of highest abundance of palila, which is inconsistent with a predator-prey interaction but is well explained by elevational variation in availability of microhabitats.""""",23,Rattus rattus,,Loxioides bailleui_Rattus rattus
Coenocorypha iredalei,BirdLife International. 2016. Coenocorypha iredalei. The IUCN Red List of Threatened Species 2016: e.T22727515A94951415. https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22727515A94951415.en. Accessed on 13 November 2023.,"",Population,Abundance,Timing,Rattus rattus,,,"","",1,,0,,"",,,Stewart Island,-47.0103,167.8272,"""""The accidental introduction of black rats Rattus rattus onto Stewart Island in 1964 presumably brought about the extinction of C. iredalei.""""",26,Rattus rattus,,Coenocorypha iredalei_Rattus rattus
Gallinula nesiotis,"Bond, A.L., Carlson, C.J. and Burgio, K.R., 2019. Local extinctions of insular avifauna on the most remote inhabited island in the world. Journal of Ornithology, 160(1), pp.49-60.","",Population,Abundance,Timing,Rattus rattus,,,"","",0,,1,,"",,0,Tristan da Cunha,-37.1052,-12.2777,"""""We estimate that all three species were likely extirpated from Tristan between 1869 and 1880 following a period of significant habitat alteration and human overexploitation, and only the albatross had a high probability of persistence when Black Rats (Rattus rattus) arrived in 1882, the previously assumed cause of extinction for all three species."""" """"The Tristan Moorhen likely went extinct in 1874""""",31,Rattus rattus,,Gallinula nesiotis_Rattus rattus
Pomarea fluxa,BirdLife International. 2016. Pomarea fluxa. The IUCN Red List of Threatened Species 2016: e.T22732926A95051671. https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22732926A95051671.en. Accessed on 16 November 2023.,"",Population,Abundance,Timing,Rattus exulans,,,"","",1,,0,,"",,,Marquesas Islands,-9.7812,-139.0817,"""""Introduced predators including feral cats, Polynesian rat Rattus exulans and possibly black rat R. rattus were present on the island at the time of the species's demise, and may have contributed to declines""""",32,"Rattus exulans, Rattus rattus",,Pomarea fluxa_Rattus exulans
Pomarea fluxa,BirdLife International. 2016. Pomarea fluxa. The IUCN Red List of Threatened Species 2016: e.T22732926A95051671. https://dx.doi.org/10.2305/IUCN.UK.2016-3.RLTS.T22732926A95051671.en. Accessed on 16 November 2023.,"",Population,Abundance,Timing,Rattus rattus,,,"","",1,,0,,"",,,Marquesas Islands,-9.7812,-139.0817,"""""Introduced predators including feral cats, Polynesian rat Rattus exulans and possibly black rat R. rattus were present on the island at the time of the species's demise, and may have contributed to declines""""",32,"Rattus exulans, Rattus rattus",,Pomarea fluxa_Rattus rattus
Chasiempis ibidis,"Banko, P.C., Jaenecke, K.A., Peck, R.W. and Brinck, K.W., 2019. Increased nesting success of Hawaii Elepaio in response to the removal of invasive black rats. The Condor, 121(2), p.duz003.","",Population,Reproductive success,Spatiotemporal,Rattus rattus,,1,"","",1,,1,1,2 pairs of sites,1,1,O’ahu,21.4389,-158.0001,"""""We assessed the response of Hawaii Elepaio to reduced [rat] abundance using a before-after-control-impact (BACI) study design to compare nest success and nest daily survival rates"""" """"The daily survival rate (DSR) of nests (n = 191) was greater on treated plots after rodenticide application (mean ± SE = 0.980 ± 0.004 treatment; 0.964 ± 0.004 nontreatment), mod- eled nest success increased from 29% to 50%, and apparent nest success (number of successful nests per total nests) increased from 37% to 52%.""""",33,Rattus rattus,,Chasiempis ibidis_Rattus rattus
Chasiempis ibidis,"Banko, P.C., Jaenecke, K.A., Peck, R.W. and Brinck, K.W., 2019. Increased nesting success of Hawaii Elepaio in response to the removal of invasive black rats. The Condor, 121(2), p.duz003.","VanderWerf, E. A. 2012. Hawaiian Bird Conservation Action Plan: NWHI Passerines. Honolulu, Hawaii http://large.stanford.edu/courses/2017/ph241/lewis1/docs/HBCAP_complete1.pdf",Predation,Predation,Predation,Rattus rattus,,,"Eggs, chicks, adults",191,1,24,0,,"",,,O’ahu,21.4389,-158.0001,"""""We considered the cause of nest failure to be rat predation at 46 (24%) of 191 nests, based on evidence from in-person nest checks and surveillance cameras"""". Second REF: """"The most serious threat to the species is predation on nests by alien rats, which take eggs, chicks, and even incubating females""""",34,Rattus rattus,,Chasiempis ibidis_Rattus rattus
Chasiempis ibidis,"Vanderwerf, E.A., 2009. Importance of nest predation by alien rodents and avian poxvirus in conservation of Oahu Elepaio. The Journal of Wildlife Management, 73(5), pp.737-746.","Vanderwerf, E.A. and Smith, D.G., 2002. Effects of alien rodent control on demography of the O'ahu'Elepaio, an endangered Hawaiian forest bird. Pacific Conservation Biology, 8(2), pp.73-81.",Population,Abundance,Timing,Rattus rattus,,,"","",1,,0,,"",,,O’ahu,21.4389,-158.0001,"""""Introduced predators including feral cats, Polynesian rat Rattus exulans and possibly black rat R. rattus were present on the island at the time of the species's demise, and may have contributed to declines""""",35,Rattus rattus,,Chasiempis ibidis_Rattus rattus
Chasiempis ibidis,"VanderWerf, E.A., Mosher, S.M., Burt, M.D., Taylor, P.E. and Sailer, D., 2011. Variable efficacy of rat control in conserving O ‘ahu ‘Elepaio populations. In Proceedings of the Island Invasives: Eradication and Management Conference.","",Population,Reproductive success,Spatiotemporal,Rattus rattus,,1,"","",1,,1,1,7 sites,0,1,O’ahu,21.4389,-158.0001,"""""Rat control resulted in overall improvements in elepaio fecundity (50%), female survival (10%), and population growth (18%), but efficacy varied among sites, and performance was related to effort. Elepaio continued to decline at some sites despite rat control.""""",37,Rattus rattus,,Chasiempis ibidis_Rattus rattus
Prosobonia parvirostris,"Seitre, J., 1992. Causes of land-bird extinctions in French Polynesia. Oryx, 26(4), pp.215-222.","",Population,Abundance,Spatial,Rattus exulans,,1,"","",1,,1,1,6,0,0,French Polynesia,-17.6797,-149.4068,Table 3,40,Rattus exulans,,Prosobonia parvirostris_Rattus exulans
