scientificName,Article,Article_secondary_same_data,Evidence_category,Evidence_effect,Evidence_method,Study_rodent_final,Exclude_row,Sample_size_greater_than_1,Predation_type,Sample_size_nests_monitored,Hypothesis_supported,Percent_nests_or_individuals_predated,Predator_and_prey_population_data,Experiment_control_site_or_spatial_variation,Note_experiment_sample_size,Experiment_confounding_variables_included,Experiment_BACI,Study_location,Latitude,Longitude,Study_notes,Study_ID,Reported_study_rodent,Study_rodent_notes,key
Procellaria aequinoctialis,"Jouventin, P., Bried, J. and Micol, T., 2003. Insular bird populations can be saved from rats: a long-term experimental study of white-chinned petrels Procellaria aequinoctialis on Ile de la Possession (Crozet archipelago). Polar Biology, 26, pp.371-378.","",Lethal program,Abundance,Temporal,Rattus rattus,,,"","",0,,0,,"",,,Ile de la Possession,-46.4269,51.7378,"Figure 1 - (breeding success increased), number of breeding pairs decreased without obvious connection to poison baiting activities (low, high or none). Data on rat abundance is provided for 2 years without comparison to petrel numbers.",118,Rattus rattus,,Procellaria aequinoctialis_Rattus rattus
Procellaria aequinoctialis,"Jouventin, P., Bried, J. and Micol, T., 2003. Insular bird populations can be saved from rats: a long-term experimental study of white-chinned petrels Procellaria aequinoctialis on Ile de la Possession (Crozet archipelago). Polar Biology, 26, pp.371-378.","",Lethal program,Abundance,Spatial,Rattus rattus,,,"","",0,,0,,"",,,Ile de la Possession,-46.4269,51.7378,"Figure 1 - (breeding success was higher) in poisoned colony in 2 of 3 years (Table 3), but the number of breeding pairs was higher in non-poisoned colony in 1 of 3 years and appears similar in other 2 - no stats were provided. Data on rat abundance is provided for 2 years without comparison to petrel numbers. Thus, not defined as a spatiotemporal study.",119,Rattus rattus,,Procellaria aequinoctialis_Rattus rattus
Puffinus yelkouan,"Ruffino, L., Bourgeois, K., Vidal, E., Duhem, C., Paracuellos, M., Escribano, F., Sposimo, P., Baccetti, N., Pascal, M. and Oro, D., 2009. Invasive rats and seabirds after 2,000 years of an unwanted coexistence on Mediterranean islands. Biological invasions, 11, pp.1631-1651.","",Population,Abundance,Spatial,Rattus rattus,,1,"","",0,,1,1,292,1,0,Western Mediterranean Basin (coordinates from one of the sites),41.5579,9.3253,"""""Rat presence on islands was negatively related to storm petrel abundance, but did not influence either the presence or the abundance of the three shearwaters."""" See Table 3 for bird presence and Table 4 for abundance",124,Rattus rattus,,Puffinus yelkouan_Rattus rattus
Puffinus yelkouan,"Bourgeois, K. and Vidal, E., 2008. The endemic Mediterranean yelkouan shearwater Puffinus yelkouan: distribution, threats and a plea for more data. Oryx, 42(2), pp.187-194.","",Predation,Predation,Predation,Rattus rattus,,,"","",1,,0,,"",,,Tavolara Island,40.9062,9.7133,"""""Breeding success was zero because of ship rat predation on the Tavolara islands in 2006 and on Montecristo Island in some years (Italy, N. Baccetti, G. Spano & M. Putzu, pers. comm.).",125,Rattus rattus,,Puffinus yelkouan_Rattus rattus
Puffinus yelkouan,"Bourgeois, K. and Vidal, E., 2008. The endemic Mediterranean yelkouan shearwater Puffinus yelkouan: distribution, threats and a plea for more data. Oryx, 42(2), pp.187-194.","",Predation,Predation,Predation,Rattus rattus,,,"","",1,,0,,"",,,Montecristo,42.3357,10.3105,"""""Breeding success was zero because of ship rat predation on the Tavolara islands in 2006 and on Montecristo Island in some years (Italy, N. Baccetti, G. Spano & M. Putzu, pers. comm.).""""",126,Rattus rattus,,Puffinus yelkouan_Rattus rattus
Puffinus yelkouan,"Bourgeois, K. and Vidal, E., 2008. The endemic Mediterranean yelkouan shearwater Puffinus yelkouan: distribution, threats and a plea for more data. Oryx, 42(2), pp.187-194.","",Predation,Predation,Predation,Rattus rattus,,,"","",1,,0,,"",,,Malta,35.9375,14.3754,"""""Rats are also the main cause of breeding failure in the largest Maltese colony (J.J. Borg, pers. comm.).",127,Rattus rattus,,Puffinus yelkouan_Rattus rattus
Puffinus yelkouan,"Bourgeois, K., Ouni, R., Pascal, M., Dromzée, S., Fourcy, D. and Abiadh, A., 2013. Dramatic increase in the Zembretta Yelkouan shearwater breeding population following ship rat eradication spurs interest in managing a 1500-year old invasion. Biological Invasions, 15, pp.475-482.","",Population,Abundance,Temporal,Rattus rattus,,0,"","",1,,1,,1,0,0,Zembretta Island,37.107,10.8744,"""""For 2 years before and 3 years after rat eradication, the Zembretta Yelkouan shearwater breeding colony was checked yearly at the end of the breeding season. The number of recorded breeding pairs reaching 176 and 145, respectively, increases of 10.4 and 8.5-fold two and 3 years after rat eradication.",128,Rattus rattus,,Puffinus yelkouan_Rattus rattus
Puffinus yelkouan,"Bourgeois, K., Ouni, R., Pascal, M., Dromzée, S., Fourcy, D. and Abiadh, A., 2013. Dramatic increase in the Zembretta Yelkouan shearwater breeding population following ship rat eradication spurs interest in managing a 1500-year old invasion. Biological Invasions, 15, pp.475-482.","",Population,Abundance,Timing,Rattus rattus,,,"","",0,,0,,"",,,Zembretta Island,37.107,10.8744,"""""Vigne (1988; Supplementary material) found evidence that the ship rat invaded Zembra Island at least by 500 years AD.""""",129,Rattus rattus,,Puffinus yelkouan_Rattus rattus
Puffinus yelkouan,"Bonnaud, E., Zarzoso‐Lacoste, D., Bourgeois, K., Ruffino, L., Legrand, J. and Vidal, E., 2010. Top‐predator control on islands boosts endemic prey but not mesopredator. Animal Conservation, 13(6), pp.556-567.","",Predation,Predation,Predation,Rattus rattus,,,"","",0,,0,,"",,,Port-Cros Island,43.0036,6.3944,"""""Despite the significant increase in the frequency of visits of shearwater breeding cavities by rats, maybe due to the extent of rat home ranges following the high decrease of cat predation, no breeding failure could be attributed to rat predation (no rat teeth or claw marks were observed on eggs).""""",130,Rattus rattus,,Puffinus yelkouan_Rattus rattus
Puffinus yelkouan,"Ruffino, L., Bourgeois, K., Vidal, E., Icard, J., Torre, F. and Legrand, J., 2008. Introduced predators and cavity-nesting seabirds: unexpected low level of interaction at breeding sites. Canadian Journal of Zoology, 86(9), pp.1068-1073.","",Predation,Predation,Predation,Rattus rattus,,,"",25,0,0,0,,"",,,Port-Cros Island,43.0036,6.3944,"""""Very few rat visits were recorded at the shearwater-occupied cavities and no predation event was recorded. These intriguing results reveal a low level of interaction between introduced black rats and yelkouan shearwaters, which may have facilitated their long-term coexistence for thousands of years on some Mediterranean islands.""""",131,Rattus rattus,,Puffinus yelkouan_Rattus rattus
Puffinus yelkouan,"Ruffino, L., Bourgeois, K., Vidal, E., Icard, J., Torre, F. and Legrand, J., 2008. Introduced predators and cavity-nesting seabirds: unexpected low level of interaction at breeding sites. Canadian Journal of Zoology, 86(9), pp.1068-1073.","",Population,Reproductive success,Temporal,Rattus rattus,,0,"","",0,,1,0,1 site,0,0,Port-Cros Island,43.0036,6.3944,"""""Very few rat visits were recorded at the shearwater-occupied cavities and no predation event was recorded. These intriguing results reveal a low level of interaction between introduced black rats and yelkouan shearwaters, which may have facilitated their long-term coexistence for thousands of years on some Mediterranean islands.""""",132,Rattus rattus,,Puffinus yelkouan_Rattus rattus
Puffinus yelkouan,"Ruffino, L., Bourgeois, K., Vidal, E., Icard, J., Torre, F. and Legrand, J., 2008. Introduced predators and cavity-nesting seabirds: unexpected low level of interaction at breeding sites. Canadian Journal of Zoology, 86(9), pp.1068-1073.","",Population,Abundance,Timing,Rattus rattus,,,"","",0,,0,,"",,,Mediterranean islands,34.5531,18.048,"""""Very few rat visits were recorded at the shearwater-occupied cavities and no predation event was recorded. These intriguing results reveal a low level of interaction between introduced black rats and yelkouan shearwaters, which may have facilitated their long-term coexistence for thousands of years on some Mediterranean islands.""""",133,Rattus rattus,,Puffinus yelkouan_Rattus rattus
Puffinus yelkouan,"Martin, J.L., Thibault, J.C. and Bretagnolle, V., 2000. Black rats, island characteristics, and colonial nesting birds in the Mediterranean: consequences of an ancient introduction. Conservation Biology, 14(5), pp.1452-1466.","",Population,Abundance,Spatial,Rattus rattus,,1,"","",0,,1,1,15,1,0,Cabrera Islands,39.1407,2.9451,"""""We did not detect significant effects of rats on the Mediterranean Shearwater""""",134,Rattus rattus,,Puffinus yelkouan_Rattus rattus
Diomedea exulans,"Connan, M., Jones, C.W., Risi, M.M., Smyth, L.K., Oppel, S., Perold, V., Stevens, K.L., Daling, R. and Ryan, P.G., 2023. First evidence of mouse predation killing adult great albatrosses. Biological Invasions, pp.1-7.","",Predation,Predation,Predation,Mus musculus,,,Adults,"",1,,0,,"",,,Marion Island,-46.9125,37.743611,"""""On Gough Island, three Tristan Albatrosses Diomedea dabbenena (Critically Endangered) brooding small chicks were observed with wounds typical of mouse attacks in March–April 2021; two likely abandoned their chick, causing breeding failure, and the third was found dead eight days after discovery with large blowfly larvae in the wound. On Marion Island, two wounded and eight dead adult Wandering Albatrosses D. exulans (Vulnerable) were found in April 2023. Inspection of the wounded individuals, as well as the injuries on the fresh carcasses strongly suggest that mouse predation was the cause of death.""""",135,Mus musculus,,Diomedea exulans_Mus musculus
Diomedea exulans,"Dilley, B.J., Schoombie, S., Schoombie, J. and Ryan, P.G., 2016. ‘Scalping’of albatross fledglings by introduced mice spreads rapidly at Marion Island. Antarctic Science, 28(2), pp.73-80.","",Predation,Predation,Predation,Mus musculus,,,Chicks,553,1,0.5,0,,"",,,Marion Island,-46.9125,37.743611,"""""The first mouse-injured wandering albatross (Diomedea exulans L.) chick was found in 2003 and since then attacks have continued at a low level affecting <1% of the population"""" """"Remote cameras...confirmed that mice were responsible for wounds on [two] chicks"""" """"The survey of chicks outside study colonies in June 2015 inspected 553 chicks (~ 70% of chicks outside study colonies), of which three (0.5%) had mouse wounds""""",136,Mus musculus,,Diomedea exulans_Mus musculus
Diomedea exulans,"Dilley, B.J., Schoombie, S., Schoombie, J. and Ryan, P.G., 2016. ‘Scalping’of albatross fledglings by introduced mice spreads rapidly at Marion Island. Antarctic Science, 28(2), pp.73-80.","",Predation,Predation,Predation,Mus musculus,,,Chicks,268,1,0.56,0,,"",,,Marion Island,-46.9125,37.743611,"""""Since 2003, 21 wandering albatross chicks have been found with mouse wounds in the three study colonies (average 1.5 ± 1.6 per year, range 0–6, 268± 44 nests) monitored per year; Fig. 4)""""",137,Mus musculus,,Diomedea exulans_Mus musculus
Diomedea exulans,"Jones, M.G.W. and Ryan, P.G., 2010. Evidence of mouse attacks on albatross chicks on sub-Antarctic Marion Island. Antarctic Science, 22(1), pp.39-42.","",Predation,Predation,Predation,Mus musculus,,,Chicks,1098,1,0.18,0,,"",,,Marion Island,-46.9125,37.743611,"""""We summarize evidence for mouse attacks on albatross chicks at sub-Antarctic Marion Island, where mice are also the only introduced mammal following the eradication of feral cats Felis catus in the early 1990s. Wounds consistent with mouse attacks have been found on wandering albatrosses Diomedea exulans since 2003 and dark-mantled sooty albatrosses Phoebetria fusca in 2009."""" Data in Table 1",138,Mus musculus,,Diomedea exulans_Mus musculus
Phoebastria immutabilis,"Work, T.M., Duhr, M. and Flint, B., 2021. Pathology of house mouse (Mus musculus) predation on Laysan albatross (Phoebastria immutabilis) on Midway Atoll National Wildlife Refuge. The Journal of Wildlife Diseases, 57(1), pp.125-131.","",Predation,Predation,Predation,Mus musculus,,,"Chicks, adults","",1,,0,,"",,,Midway Atoll National Wildlife Refuge,28.2482,-177.3335,"""""we show that, in addition to chicks, house mice (Mus musculus) prey on adult nesting LAAL on Midway Atoll""""",139,Mus musculus,,Phoebastria immutabilis_Mus musculus
Phoebastria immutabilis,"Holthuijzen, W.A., Flint, E.N., Green, S.J., Plissner, J.H., Simberloff, D., Sweeney, D., Wolf, C.A. and Jones, H.P., 2023. An invasive appetite: Combining molecular and stable isotope analyses to reveal the diet of introduced house mice (Mus musculus) on a small, subtropical island. Plos one, 18(10), p.e0293092.","",Predation,Predation,Predation,Mus musculus,,,"Chicks, adults","",1,,0,,"",,,Midway Atoll National Wildlife Refuge,28.2482,-177.3335,"""""House mouse diet on Sand Island is dominated by arthropods (62%), with C3 plants, C4 plants, and mōlī contributing nearly equal proportions (15%, 12%, and 12%, respectively; Fig 3A, S4 Table).""""",140,Mus musculus,,Phoebastria immutabilis_Mus musculus
Thalassarche chrysostoma,"Dilley, B.J., Schoombie, S., Schoombie, J. and Ryan, P.G., 2016. ‘Scalping’of albatross fledglings by introduced mice spreads rapidly at Marion Island. Antarctic Science, 28(2), pp.73-80.","",Predation,Predation,Predation,Mus musculus,,,Chicks,2201,1,4.6,0,,"",,,Marion Island,-46.9125,37.743611,"""""In 2015, mice attacked large chicks of all three albatross species that fledge in autumn: grey-headed (Thalassarche chrysostoma Forster) (at least 102 wounded chicks; 4.6% of fledglings), sooty (n = 45, 4.3%) and light-mantled albatross (P. palpebrata Forster) (n = 1, 4%). Filming at night confirmed that mice were responsible for wounds.""""",141,Mus musculus,,Thalassarche chrysostoma_Mus musculus
Thalassarche chrysostoma,"Jones, M.G.W. and Ryan, P.G., 2010. Evidence of mouse attacks on albatross chicks on sub-Antarctic Marion Island. Antarctic Science, 22(1), pp.39-42.","",Predation,Predation,Predation,Mus musculus,,,"","",0,,0,,"",,,Marion Island,-46.9125,37.743611,"""""There has been no evidence of mouse attacks on greyheaded albatross or northern giant petrel chicks, either in the study colonies or from incidental observations.""""",142,Mus musculus,,Thalassarche chrysostoma_Mus musculus
Thalassarche chlororhynchos,"Cuthbert, R.J., Louw, H., Parker, G., Rexer-Huber, K. and Visser, P., 2013. Observations of mice predation on dark-mantled sooty albatross and Atlantic yellow-nosed albatross chicks at Gough Island. Antarctic Science, 25(6), pp.763-766.","",Predation,Predation,Predation,Mus musculus,,,Chicks,52,1,1.92,0,,"",,,Gough Island,-40.3186,-9.9353,"""""Fig. 2. a. The carcass of an Atlantic yellow-nosed albatross chick with wounds on the belly and exposed viscera, and b. location of the mouse hole within the nest mound and entrance of the mouse hole at the base of the pedestal."""" """"This predated chick was one of 52 hatched chicks in the long-term study colony where regular (more than twice weekly) checks were made in the 2009/10 season, suggesting mice preyed upon a minimum of 2% of chicks in this season.""""",143,Mus musculus,,Thalassarche chlororhynchos_Mus musculus
Thalassarche chlororhynchos,"Jones, C.W., Risi, M.M., Cleeland, J. and Ryan, P.G., 2019. First evidence of mouse attacks on adult albatrosses and petrels breeding on sub-Antarctic Marion and Gough Islands. Polar Biology, 42, pp.619-623.","",Predation,Predation,Predation,Mus musculus,,,Adults,618,1,3.72,0,,"",,,Gough Island,-40.3186,-9.9353,"""""During an incubation census of Atlantic Yellow-nosed Albatross Thalassarche chlororhynchos conducted from 18 to 26 October 2018 on Gough Island, an incubating individual was found on 19 October with a wound on the central back. The wound (~ 2 cm in diameter) had punctured the dermal layer and caused minor bleeding, but the adult bird was responsive and appeared unaffected. However, during the census, of 618 incubators counted in long-term census plots, a total of 23 freshly dead carcasses of Atlantic Yellownosed Albatrosses were found next to empty nests in nearby colonies to where the mouse wounded bird was found. The cause of death could not be determined and remains speculative.",144,Mus musculus,,Thalassarche chlororhynchos_Mus musculus
Thalassarche chlororhynchos,"Jones, C.W., Risi, M.M., Cleeland, J. and Ryan, P.G., 2019. First evidence of mouse attacks on adult albatrosses and petrels breeding on sub-Antarctic Marion and Gough Islands. Polar Biology, 42, pp.619-623.","",Population,Reproductive success,Timing,Mus musculus,,,"","",0,,0,,"",,,Gough Island,-40.3186,-9.9353,"""""Prior to 2017, there were no definite records of incubating or brooding adult seabirds on Marion or Gough Islands with wounds consistent with those inflicted by mice on albatross or petrel chicks."""" *This species was defined Endangered in 2003 (IUCN Red List 2023)",145,Mus musculus,,Thalassarche chlororhynchos_Mus musculus
Phoebetria fusca,"Cuthbert, R.J., Louw, H., Parker, G., Rexer-Huber, K. and Visser, P., 2013. Observations of mice predation on dark-mantled sooty albatross and Atlantic yellow-nosed albatross chicks at Gough Island. Antarctic Science, 25(6), pp.763-766.","",Predation,Predation,Predation,Mus musculus,,,Chicks,"",1,,0,,"",,,Gough Island,-40.3186,-9.9353,"""""Fig. 1. a. The carcass of a sooty albatross chick with wounds to its belly and abdomen and exposed viscera, and b. location of the mouse hole within the nest and beneath the carcass of the chick.",146,Mus musculus,,Phoebetria fusca_Mus musculus
Phoebetria fusca,"Barbraud, C., Delord, K., Le Bouard, F., Harivel, R., Demay, J., Chaigne, A. and Micol, T., 2021. Seabird population changes following mammal eradication at oceanic Saint-Paul Island, Indian Ocean. Journal for Nature Conservation, 63, p.126049.","",Population,Abundance,Timing,Rattus rattus,,,"","",0,,0,,"",,,Saint-Paul Island,57.1208,-170.283,No difference in number of Sooty Albatross breeding pairs before and after rat eradication (Table 2),147,Rattus rattus,,Phoebetria fusca_Rattus rattus
Phoebetria fusca,"Dilley, B.J., Schoombie, S., Schoombie, J. and Ryan, P.G., 2016. ‘Scalping’of albatross fledglings by introduced mice spreads rapidly at Marion Island. Antarctic Science, 28(2), pp.73-80.","",Predation,Predation,Predation,Mus musculus,,,Chicks,1045,1,4.3,0,,"",,,Marion Island,-46.9125,37.743611,"""""In 2015, mice attacked large chicks of all three albatross species that fledge in autumn: grey-headed (Thalassarche chrysostoma Forster) (at least 102 wounded chicks; 4.6% of fledglings), sooty (n = 45, 4.3%) and light-mantled albatross (P. palpebrata Forster) (n = 1, 4%). Filming at night confirmed that mice were responsible for wounds.""""",148,Mus musculus,,Phoebetria fusca_Mus musculus
Phoebetria fusca,"Jones, M.G.W. and Ryan, P.G., 2010. Evidence of mouse attacks on albatross chicks on sub-Antarctic Marion Island. Antarctic Science, 22(1), pp.39-42.","",Predation,Predation,Predation,Mus musculus,,,Chicks,"",1,,0,,"",,,Marion Island,-46.9125,37.743611,"""""We summarize evidence for mouse attacks on albatross chicks at sub-Antarctic Marion Island, where mice are also the only introduced mammal following the eradication of feral cats Felis catus in the early 1990s. Wounds consistent with mouse attacks have been found on wandering albatrosses Diomedea exulans since 2003 and dark-mantled sooty albatrosses Phoebetria fusca in 2009."""" """"However, in April 2009 localized attacks were recorded on dark-mantled sooty albatross chicks at Marion Island. Seven of 19 large chicks on two ledges of an inland cliff in the south-west of the island (Old Sea Cliffs, Toffee Lava) bore open wounds on the backs of their heads and/or necks (Fig. 2) similar to wounds observed on some Tristan albatross chicks on Gough Island""""",149,Mus musculus,,Phoebetria fusca_Mus musculus
Phoebetria palpebrata,"Dilley, B.J., Schoombie, S., Schoombie, J. and Ryan, P.G., 2016. ‘Scalping’of albatross fledglings by introduced mice spreads rapidly at Marion Island. Antarctic Science, 28(2), pp.73-80.","",Predation,Predation,Predation,Mus musculus,,,Chicks,25,1,4,0,,"",,,Marion Island,-46.9125,37.743611,"""""In 2015, mice attacked large chicks of all three albatross species that fledge in autumn: grey-headed (Thalassarche chrysostoma Forster) (at least 102 wounded chicks; 4.6% of fledglings), sooty (n = 45, 4.3%) and light-mantled albatross (P. palpebrata Forster) (n = 1, 4%). Filming at night confirmed that mice were responsible for wounds.""""",150,Mus musculus,,Phoebetria palpebrata_Mus musculus
Hydrobates homochroa,"Newton, K.M., McKown, M., Wolf, C., Gellerman, H., Coonan, T., Richards, D., Harvey, A.L., Holmes, N., Howald, G., Faulkner, K. and Tershy, B.R., 2016. Response of native species 10 years after rat eradication on Anacapa Island, California. Journal of Fish and Wildlife Management, 7(1), pp.72-85.","Harvey, A.L., Mazurkiewicz, D.M., McKOWN, M.W., Barnes, K.W. and Parker, M.W., 2016. Changing breeding status of the ashy storm-petrel Oceanodroma homochroa on Anacapa Island, California. Marine Ornithology, 44, pp.93-97; Carter, H.R., Ainley, D.G., WOLF, S.G. and Weinstein, A.M., 2016. Range-wide conservation and science of the Ashy Storm-Petrel Oceanodroma homochroa. Marine Ornithology, 44, pp.53-62.",Population,Reproductive success,Timing,Rattus rattus,,,"","",1,,0,,"",,,Anacapa Island,34.0044,-119.3996,"""""No evidence of breeding ashy storm-petrels were found during sea cave searches pre- or post-eradication (2001 – 2010; Table 1) on Anacapa Island (Whitworth et al. 2012)."""" """"We found one active nest containing a nearly fledged ASSP chick in 2011, representing the first breeding record for the island."""" """"however, a small remnant population likely persisted in rat-inaccessible habitats before eradication, as judged from the 50 birds captured in mist nets in 1994 (Carter & Whitworth 2013)""""",151,Rattus rattus,,Hydrobates homochroa_Rattus rattus
Hydrobates homochroa,"Newton, K.M., McKown, M., Wolf, C., Gellerman, H., Coonan, T., Richards, D., Harvey, A.L., Holmes, N., Howald, G., Faulkner, K. and Tershy, B.R., 2016. Response of native species 10 years after rat eradication on Anacapa Island, California. Journal of Fish and Wildlife Management, 7(1), pp.72-85.","Harvey, A.L., Mazurkiewicz, D.M., McKOWN, M.W., Barnes, K.W. and Parker, M.W., 2016. Changing breeding status of the ashy storm-petrel Oceanodroma homochroa on Anacapa Island, California. Marine Ornithology, 44, pp.93-97; Carter, H.R., Ainley, D.G., WOLF, S.G. and Weinstein, A.M., 2016. Range-wide conservation and science of the Ashy Storm-Petrel Oceanodroma homochroa. Marine Ornithology, 44, pp.53-62.",Predation,Predation,Predation,Mus musculus,,,"","",1,,0,,"",,,Farallon Islands,37.6986,-123.0022,"""""Mice were suspected of depredating… eggs and small chicks of the Ashy Storm-Petrel Oceanodroma homochroa on the Farallon Islands (Ainley et al. 1990)"""" - Reference not online",152,Mus musculus,,Hydrobates homochroa_Mus musculus
Diomedea dabbenena,"Cuthbert, R., Sommer, E., Ryan, P., Cooper, J. and Hilton, G., 2004. Demography and conservation of the Tristan albatross Diomedea [exulans] dabbenena. Biological Conservation, 117(5), pp.471-481.","Cuthbert, R. and Hilton, G., 2004. Introduced house mice Mus musculus: a significant predator of threatened and endemic birds on Gough Island, South Atlantic Ocean?. Biological conservation, 117(5), pp.483-489; Jones, M.G.W. and Ryan, P.G., 2010. Evidence of mouse attacks on albatross chicks on sub-Antarctic Marion Island. Antarctic Science, 22(1), pp.39-42; Cuthbert, R.J., Wanless, R.M., Angel, A., Burle, M.H., Hilton, G.M., Louw, H., Visser, P., Wilson, J.W. and Ryan, P.G., 2016. Drivers of predatory behavior and extreme size in house mice Mus musculus on Gough Island. Journal of Mammalogy, 97(2), pp.533-544.",Predation,Predation,Predation,Mus musculus,,,Chicks,"",1,,0,,"",,,Gough Island,-40.3186,-9.9353,"""""Wounds found on two live chicks and injuries found on Atlantic Pterodroma incerta petrel chicks strongly suggest that feral house mice Mus musculus are the most likely predator of Tristan albatross chicks (Cuthbert and Hilton, in press).""""",153,Mus musculus,,Diomedea dabbenena_Mus musculus
Diomedea dabbenena,"Wanless, R.M., Angel, A., Cuthbert, R.J., Hilton, G.M. and Ryan, P.G., 2007. Can predation by invasive mice drive seabird extinctions?. Biology letters, 3(3), pp.241-244.","",Predation,Predation,Predation,Mus musculus,,,Chicks,256,1,39,0,,"",,,Gough Island,-40.3186,-9.9353,"""""Mouse-induced mortality in 2004 was a significant cause of extremely poor breeding success for Tristan albatrosses, Diomedea dabbenena (0.27 fledglings/pair), and Atlantic petrels, Pterodroma incerta (0.33).""""",154,Mus musculus,,Diomedea dabbenena_Mus musculus
Diomedea dabbenena,"Connan, M., Jones, C.W., Risi, M.M., Smyth, L.K., Oppel, S., Perold, V., Stevens, K.L., Daling, R. and Ryan, P.G., 2023. First evidence of mouse predation killing adult great albatrosses. Biological Invasions, pp.1-7.","",Predation,Predation,Predation,Mus musculus,,,Adults,"",1,,0,,"",,,Gough Island,-40.3186,-9.9353,"""""On Gough Island, three Tristan Albatrosses Diomedea dabbenena (Critically Endangered) brooding small chicks were observed with wounds typical of mouse attacks in March–April 2021; two likely abandoned their chick, causing breeding failure, and the third was found dead eight days after discovery with large blowfly larvae in the wound. On Marion Island, two wounded and eight dead adult Wandering Albatrosses D. exulans (Vulnerable) were found in April 2023. Inspection of the wounded individuals, as well as the injuries on the fresh carcasses strongly suggest that mouse predation was the cause of death.""""",155,Mus musculus,,Diomedea dabbenena_Mus musculus
Diomedea dabbenena,"Oppel, S., Clark, B.L., Risi, M.M., Horswill, C., Converse, S.J., Jones, C.W., Osborne, A.M., Stevens, K., Perold, V., Bond, A.L. and Wanless, R.M., 2022. Cryptic population decrease due to invasive species predation in a long‐lived seabird supports need for eradication. Journal of Applied Ecology, 59(8), pp.2059-2070.","",Population,Abundance,Temporal,Mus musculus,,0,"","",0,,1,0,1,0,0,Gough Island,-40.3186,-9.9353,"""""The adult breeding population remained stable between 2004 and 2021"""" """"Mice have ... affected breeding success of seabirds since at least 2000 when the low breeding success was first noticed… Mice have recently been observed attacking adult albatrosses""""",156,Mus musculus,,Diomedea dabbenena_Mus musculus
Diomedea dabbenena,"Oppel, S., Clark, B.L., Risi, M.M., Horswill, C., Converse, S.J., Jones, C.W., Osborne, A.M., Stevens, K., Perold, V., Bond, A.L. and Wanless, R.M., 2022. Cryptic population decrease due to invasive species predation in a long‐lived seabird supports need for eradication. Journal of Applied Ecology, 59(8), pp.2059-2070.","",Population,Abundance,Timing,Mus musculus,,,"","",0,,0,,"",,,Gough Island,-40.3186,-9.9353,"""""Mice have been present on Gough since the 19th century""""",157,Mus musculus,,Diomedea dabbenena_Mus musculus
Diomedea dabbenena,"Davies, D., Dilley, B.J., Bond, A.L., Cuthbert, R.J. and Ryan, P.G., 2015. Trends and tactics of mouse predation on Tristan albatross Diomedea dabbenena chicks at Gough Island, South Atlantic Ocean. Avian Conservation & Ecology, 10(1).","",Predation,Predation,Predation,Mus musculus,,,Chicks,20,1,70,0,,"",,,Gough Island,-40.3186,-9.9353,"""""We closely monitored the fates of 20 chicks... Only 5 of 20 chicks survived to fledge, and of the 15 failures, 14 (93%) were due to mouse predation.""""",158,Mus musculus,,Diomedea dabbenena_Mus musculus
Diomedea dabbenena,"Bond, A.L., Carlson, C.J. and Burgio, K.R., 2019. Local extinctions of insular avifauna on the most remote inhabited island in the world. Journal of Ornithology, 160(1), pp.49-60.","",Population,Abundance,Timing,Rattus rattus,,,"","",0,,0,,"",,,Tristan da Cunha,-37.1052,-12.2777,"""""We estimate that all three species were likely extirpated from Tristan between 1869 and 1880 following a period of significant habitat alteration and human overexploitation, and only the albatross had a high probability of persistence when Black Rats (Rattus rattus) arrived in 1882, the previously assumed cause of extinction for all three species."""" """"The Tristan Albatross likely went extinct on the main island of Tristan by 1880, in part owing to human persecution""""",159,Rattus rattus,,Diomedea dabbenena_Rattus rattus
Puffinus mauretanicus,"Ruffino, L., Bourgeois, K., Vidal, E., Duhem, C., Paracuellos, M., Escribano, F., Sposimo, P., Baccetti, N., Pascal, M. and Oro, D., 2009. Invasive rats and seabirds after 2,000 years of an unwanted coexistence on Mediterranean islands. Biological invasions, 11, pp.1631-1651.","",Population,Abundance,Spatial,Rattus rattus,,1,"","",0,,1,1,292,1,0,Western Mediterranean Basin (coordinates from one of the sites),39.9496,4.1104,"""""Rat presence on islands was negatively related to storm petrel abundance, but did not influence either the presence or the abundance of the three shearwaters."""" See Table 3 for bird presence and Table 4 for abundance",160,Rattus rattus,,Puffinus mauretanicus_Rattus rattus
Pterodroma atrata,"Oppel, S., Lavers, J.L., Donaldson, A.H., Forrest, A.K., McClelland, G.T., Bond, A.L. and Brooke, M.D.L., 2017. Population status, breeding success and ecology of the Henderson Petrel after a failed rat eradication on Henderson Island. Emu-Austral Ornithology, 117(2), pp.151-159.","",Predation,Predation,Predation,Rattus exulans,,,Chicks,25,1,12,0,,"",,,Henderson Island,-24.3744,-128.3271,"""""We also estimated the nest survival of 25 nests to be 28.5%, and most nest failures occurred within 7 days of hatching when chicks were killed by rats (n = 3) or a crab (n = 1).""""",161,Rattus exulans,,Pterodroma atrata_Rattus exulans
