Rodent_species,Location,scientificName,min_difference,max_difference,median_difference,cat_arrival
All rodents,"Fatu Hiva, French Polyneisa",Vini ultramarina,7,7,7,Extinction within 100 years of arrival
All rodents,"Rapa, French Polynesia",Puffinus myrtae,675,788,731.5,Extinction at least 500-999 years after arrival
All rodents,"Lundy, United Kingdom",Fratercula arctica,86,381,252.25,Extinction within 100 years of arrival
All rodents,"Great Barrier Island, New Zealand",Pterodroma cookii,122,1909,740,Extinction at least 100-499 years after arrival
All rodents,"San Pietro Island, Sardinia",Puffinus yelkouan,2059,2059,2059,"Extinction at least 1,000 years after arrival"
All rodents,Tristan da Cunha,Diomedea dabbenena,-13,224,74.5,Extinction before or after arrival
All rodents,"Ducie, Pitcairn islands",Pterodroma atrata,772,842,807,Extinction at least 500-999 years after arrival
All rodents,"Orofero valley, Tahiti",Pomarea nigra,87,243,165,Extinction within 100 years of arrival
All rodents,"Cousine Island, Seychelles",Zosterops modestus,63,64,63.25,Extinction within 100 years of arrival
All rodents,"Alphonse, Seychelles",Copsychus sechellarum,173,173,173,Extinction at least 100-499 years after arrival
All rodents,"Mahe, Seychelles",Copsychus sechellarum,-114,132,7.75,Extinction before or after arrival
All rodents,"Marianne, Seychelles",Copsychus sechellarum,-50,188,69.25,Extinction before or after arrival
All rodents,"Aride, Seychelles",Copsychus sechellarum,-50,26,-12.25,Extinction before or after arrival
All rodents,Anacapa Island,Ptychoramphus aleuticus,-28,-4,-16,Extinction before arrival
All rodents,Saint-Paul Island,Pachyptila macgillivrayi,121,207,164,Extinction at least 100-499 years after arrival
All rodents,"North Island, New Zealand",Notiomystis cincta,23,23,23,Extinction within 100 years of arrival
All rodents,"Great Barrier Island, New Zealand",Notiomystis cincta,23,23,23,Extinction within 100 years of arrival
All rodents,Tristan da Cunha,Nesospiza acunhae,-10,199,69.75,Extinction before or after arrival
Rattus exulans,New Zealand,Coturnix novaezelandiae,675,1775,1225,Extinction at least 500-999 years after arrival
Rattus rattus,New Zealand,Coturnix novaezelandiae,15,15,15,Extinction within 100 years of arrival
Rattus norvegicus,New Zealand,Coturnix novaezelandiae,85,85,85,Extinction within 100 years of arrival
Rattus norvegicus,"Auckland Islands, New Zealand",Mergus australis,33,96,64.5,Extinction within 100 years of arrival
Rattus rattus,"Ile de Sainte-Marie, Madagascar",Coua delalandei,934,2979,1956.5,Extinction at least 500-999 years after arrival
Rattus norvegicus,"Ile de Sainte-Marie, Madagascar",Coua delalandei,95,199,147,Extinction within 100 years of arrival
Rattus rattus,"Ogasawara Islands, Japan",Columba versicolor,-36,-12,-24,Extinction before arrival
Rattus norvegicus,"Ogasawara Islands, Japan",Columba versicolor,21,286,153.5,Extinction within 100 years of arrival
Rattus exulans,"Makira, Solomon Islands",Pampusana salamonis,1587,2744,2165.5,"Extinction at least 1,000 years after arrival"
Rattus rattus,"Makira, Solomon Islands",Pampusana salamonis,202,294,248,Extinction at least 100-499 years after arrival
Rattus norvegicus,"Makira, Solomon Islands",Pampusana salamonis,202,294,248,Extinction at least 100-499 years after arrival
Rattus exulans,"Hiva Oa, French polynesia",Ptilinopus mercierii,1972,1972,1972,"Extinction at least 1,000 years after arrival"
Rattus rattus,"Hiva Oa, French polynesia",Ptilinopus mercierii,0,327,163.5,Extinction within 100 years of arrival
Rattus norvegicus,"Hiva Oa, French polynesia",Ptilinopus mercierii,122,327,224.5,Extinction at least 100-499 years after arrival
Rattus exulans,"Nuka Hiva, French polynesia",Ptilinopus mercierii,1899,1899,1899,"Extinction at least 1,000 years after arrival"
Rattus rattus,"Nuka Hiva, French polynesia",Ptilinopus mercierii,49,254,151.5,Extinction within 100 years of arrival
Rattus norvegicus,"Nuka Hiva, French polynesia",Ptilinopus mercierii,49,254,151.5,Extinction within 100 years of arrival
Rattus exulans,"Tahiti, French Polynesia",Hypotaenidia pacifica,565,470,517.5,Extinction at least 500-999 years after arrival
Rattus rattus,"Tahiti, French Polynesia",Hypotaenidia pacifica,-44,132,44,Extinction before or after arrival
Rattus norvegicus,"Tahiti, French Polynesia",Hypotaenidia pacifica,-48,133,42.5,Extinction before or after arrival
Rattus exulans,"Meheti'a, French Polynesia",Hypotaenidia pacifica,620,509,564.5,Extinction at least 500-999 years after arrival
Rattus rattus,"Meheti'a, French Polynesia",Hypotaenidia pacifica,11,171,91,Extinction within 100 years of arrival
Rattus norvegicus,"Meheti'a, French Polynesia",Hypotaenidia pacifica,7,172,89.5,Extinction within 100 years of arrival
Rattus exulans,"Chatham Islands, New Zealand",Hypotaenidia dieffenbachii,540,540,540,Extinction at least 500-999 years after arrival
Rattus rattus,"Chatham Islands, New Zealand",Hypotaenidia dieffenbachii,-29,-5,-17,Extinction before arrival
Rattus norvegicus,"Chatham Islands, New Zealand",Hypotaenidia dieffenbachii,-137,-112,-124.5,Extinction before arrival
Rattus rattus,"Laysan Island, Hawaii",Zapornia palmeri,-27,-14,-20.5,Extinction before arrival
Rattus rattus,"Eastern Island, Hawaii",Zapornia palmeri,1,1,1,Extinction within 100 years of arrival
Rattus rattus,"Sand Island, Hawaii",Zapornia palmeri,0,0,0,Extinction within 100 years of arrival
Rattus exulans,Hawaiian Islands,Zapornia sandwichensis,714,719,716.5,Extinction at least 500-999 years after arrival
Rattus rattus,Hawaiian Islands,Zapornia sandwichensis,-15,-1,-8,Extinction before arrival
Rattus norvegicus,Hawaiian Islands,Zapornia sandwichensis,86,91,88.5,Extinction within 100 years of arrival
Rattus exulans,"Kosrae, Micronesia",Zapornia monasa,428,478,453,Extinction at least 100-499 years after arrival
Rattus exulans,"Tahiti, French Polynesia",Prosobonia leucoptera,467,347,407,Extinction at least 100-499 years after arrival
Rattus rattus,"Tahiti, French Polynesia",Prosobonia leucoptera,-142,9,-66.5,Extinction before or after arrival
Rattus norvegicus,"Tahiti, French Polynesia",Prosobonia leucoptera,-146,10,-68,Extinction before or after arrival
Rattus rattus,"Kaua'i, Hawaii",Moho braccatus,106,117,111.5,Extinction at least 100-499 years after arrival
Rattus rattus,"Moloka'i, Hawaiian Islands",Moho bishopi,25,34,29.5,Extinction within 100 years of arrival
Rattus rattus,"Lord Howe Island, Australia",Gerygone insularis,10,17,13.5,Extinction within 100 years of arrival
Rattus exulans,"South Island, New Zealand",Turnagra capensis,705,1805,1255,Extinction at least 500-999 years after arrival
Rattus rattus,"South Island, New Zealand",Turnagra capensis,45,45,45,Extinction within 100 years of arrival
Rattus norvegicus,"South Island, New Zealand",Turnagra capensis,115,115,115,Extinction at least 100-499 years after arrival
Rattus exulans,Hawaiian Islands,Corvus hawaiiensis,852,852,852,Extinction at least 500-999 years after arrival
Rattus rattus,Hawaiian Islands,Corvus hawaiiensis,123,132,127.5,Extinction at least 100-499 years after arrival
Rattus norvegicus,Hawaiian Islands,Corvus hawaiiensis,224,224,224,Extinction at least 100-499 years after arrival
Rattus rattus,"Ogasawara Islands, Japan",Zoothera terrestris,-97,-13,-55,Extinction before arrival
Rattus norvegicus,"Ogasawara Islands, Japan",Zoothera terrestris,-40,285,122.5,Extinction before or after arrival
Rattus exulans,"Kosrae, Micronesia",Aplonis corvina,427,479,453,Extinction at least 100-499 years after arrival
Rattus norvegicus,"Mauke, Cook Islands",Aplonis mavornata,-75,173,49,Extinction before or after arrival
Rattus rattus,"Norfolk Island, Australia",Aplonis fusca,98,177,137.5,Extinction within 100 years of arrival
Rattus rattus,"Lord Howe Island, Australia",Aplonis fusca,-3,10,3.5,Extinction before or after arrival
Rattus rattus,"Lord Howe Island, Australia",Zosterops strenuus,-10,9,-0.5,Extinction before or after arrival
Rattus rattus,"Aldabra, Seychelles",Nesillas aldabrana,75,95,85,Extinction within 100 years of arrival
Rattus exulans,Hawaiian Islands,Ciridops anna,742,742,742,Extinction at least 500-999 years after arrival
Rattus rattus,Hawaiian Islands,Ciridops anna,13,22,17.5,Extinction within 100 years of arrival
Rattus norvegicus,Hawaiian Islands,Ciridops anna,114,114,114,Extinction at least 100-499 years after arrival
Rattus exulans,Moloka'i Hawaiian Islands,Drepanis funerea,757,757,757,Extinction at least 500-999 years after arrival
Rattus rattus,Moloka'i Hawaiian Islands,Drepanis funerea,28,37,32.5,Extinction within 100 years of arrival
Rattus norvegicus,Moloka'i Hawaiian Islands,Drepanis funerea,129,129,129,Extinction at least 100-499 years after arrival
Rattus exulans,"Stewart Island, Newzealand",Coenocorypha iredalei,364,364,364,Extinction at least 100-499 years after arrival
Rattus rattus,"Stewart Island, Newzealand",Coenocorypha iredalei,74,74,74,Extinction within 100 years of arrival
Rattus rattus,"St Helena, Ascension Island",Mundia elpenor,-98,154,28,Extinction before or after arrival
Rattus norvegicus,"St Helena, Ascension Island",Mundia elpenor,-76,-46,-61,Extinction before arrival
Rattus rattus,Tristan da Cunha,Gallinula nesiotis,-9,18,4.5,Extinction before or after arrival
Rattus exulans,"Moorea, French Polynesia",Prosobonia ellisi,467,347,407,Extinction at least 100-499 years after arrival
Rattus rattus,"Moorea, French Polynesia",Prosobonia ellisi,-142,9,-66.5,Extinction before or after arrival
